id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0001,2004-06-24 18:00:17,502246.268,6782115.104,342.935,61.17482681,-146.9603933,347.087
ICE_0002,2004-06-24 21:00:17,502245.818,6782114.793,342.947,61.17482402,-146.9604017,347.099
ICE_0003,2004-06-25 00:00:17,502245.36,6782114.457,342.897,61.17482101,-146.9604102,347.049
ICE_0004,2004-06-25 03:00:17,502244.896,6782114.155,342.908,61.1748183,-146.9604188,347.06
ICE_0005,2004-06-25 06:00:17,502244.474,6782113.855,342.885,61.17481561,-146.9604267,347.037
ICE_0006,2004-06-25 09:00:17,502244.063,6782113.569,342.879,61.17481304,-146.9604343,347.031
ICE_0007,2004-06-25 12:00:17,502243.656,6782113.291,342.86,61.17481054,-146.9604419,347.012
ICE_0008,2004-06-25 15:00:17,502243.243,6782112.997,342.836,61.17480791,-146.9604496,346.989
ICE_0009,2004-06-25 18:00:17,502242.792,6782112.673,342.829,61.17480501,-146.960458,346.981
ICE_0010,2004-06-25 21:00:17,502242.319,6782112.357,342.833,61.17480217,-146.9604667,346.985
ICE_0011,2004-06-26 00:00:17,502241.823,6782112.014,342.786,61.17479909,-146.960476,346.939
ICE_0012,2004-06-26 03:00:17,502241.363,6782111.7,342.8,61.17479628,-146.9604845,346.952
ICE_0013,2004-06-26 06:00:17,502240.931,6782111.39,342.772,61.17479349,-146.9604926,346.924
ICE_0014,2004-06-26 09:00:17,502240.516,6782111.099,342.76,61.17479089,-146.9605003,346.912
ICE_0015,2004-06-26 12:00:17,502240.109,6782110.826,342.71,61.17478844,-146.9605079,346.862
ICE_0016,2004-06-26 15:00:17,502239.697,6782110.529,342.712,61.17478577,-146.9605155,346.864
ICE_0017,2004-06-26 18:00:17,502239.24,6782110.208,342.682,61.17478289,-146.960524,346.834
ICE_0018,2004-06-26 21:00:17,502238.764,6782109.871,342.671,61.17477987,-146.9605329,346.823
ICE_0019,2004-06-27 00:00:17,502238.297,6782109.558,342.659,61.17477706,-146.9605416,346.812
ICE_0020,2004-06-27 03:00:17,502237.85,6782109.261,342.661,61.1747744,-146.9605499,346.813
ICE_0021,2004-06-27 06:00:17,502237.434,6782108.96,342.614,61.17477169,-146.9605576,346.766
ICE_0022,2004-06-27 09:00:17,502237.044,6782108.671,342.609,61.17476911,-146.9605649,346.761
ICE_0023,2004-06-27 12:00:17,502236.654,6782108.413,342.597,61.17476679,-146.9605721,346.75
