id,date,x_NAD27_WRONG,y_NAD27_WRONG,z1,lat_WGS84,lng_WGS84,z2
ICE1-01,2004-06-21 12:00:17,502279.791,6782112.669,346.004,61.17490086,-146.9601743,347.687
ICE1-02,2004-06-21 18:00:17,502277.436,6782110.766,345.224,61.17488378,-146.9602181,346.908
ICE1-03,2004-06-22 00:00:17,502277.595,6782111.2,345.855,61.17488768,-146.9602152,347.538
ICE1-04,2004-06-22 06:00:17,502276.634,6782110.499,345.809,61.17488139,-146.9602331,347.492
ICE1-05,2004-06-22 18:00:17,502274.821,6782109.193,345.766,61.17486967,-146.9602668,347.449
ICE1-06,2004-06-23 00:00:17,502273.899,6782108.534,345.645,61.17486377,-146.9602839,347.328
ICE1-07,2004-06-23 06:00:17,502273.032,6782107.934,345.662,61.17485838,-146.9603,347.346
ICE1-08,2004-06-23 12:00:17,502272.203,6782107.366,345.621,61.17485329,-146.9603155,347.305
ICE1-09,2004-06-23 18:00:17,502271.348,6782106.734,345.607,61.17484762,-146.9603314,347.29
ICE1-10,2004-06-24 00:00:17,502270.446,6782106.13,345.613,61.1748422,-146.9603481,347.296
ICE1-11,2004-06-24 06:00:17,502269.606,6782105.524,345.613,61.17483676,-146.9603638,347.296
