t_start,t_stop,x,y,z
2004-06-21T18:00:17Z,2004-06-21T18:59:47Z,502142.150493312,6782269.5074645,347.687
2004-06-22T06:00:17Z,2004-06-22T06:59:47Z,502139.954736446,6782268.03797931,347.538
2004-06-22T12:00:17Z,2004-06-22T12:59:47Z,502138.99339924,6782267.3368912,347.492
2004-06-23T00:00:17Z,2004-06-23T00:59:47Z,502137.18078171,6782266.03100903,347.449
2004-06-23T06:00:17Z,2004-06-23T06:59:47Z,502136.259011606,6782265.37264424,347.328
2004-06-23T12:00:17Z,2004-06-23T12:59:47Z,502135.392040182,6782264.77217256,347.346
2004-06-23T18:00:17Z,2004-06-23T18:59:47Z,502134.56270054,6782264.20421193,347.305
2004-06-24T00:00:17Z,2004-06-24T00:59:47Z,502133.70740162,6782263.57249738,347.290
2004-06-24T06:00:17Z,2004-06-24T06:59:47Z,502132.806067013,6782262.96798317,347.296
2004-06-24T12:00:17Z,2004-06-24T12:59:47Z,502131.965244687,6782262.36226822,347.296
2004-06-25T00:00:17Z,2004-06-25T00:29:47Z,502130.378115122,6782261.25300136,347.087
2004-06-25T03:00:17Z,2004-06-25T03:29:47Z,502129.928125435,6782260.94115336,347.099
2004-06-25T06:00:17Z,2004-06-25T06:29:47Z,502129.470529892,6782260.60578569,347.049
2004-06-25T09:00:17Z,2004-06-25T09:29:47Z,502129.005742258,6782260.30382996,347.06
2004-06-25T12:00:17Z,2004-06-25T12:29:47Z,502128.583834866,6782260.00344729,347.037
2004-06-25T15:00:17Z,2004-06-25T15:29:47Z,502128.173423146,6782259.71792329,347.031
2004-06-25T18:00:17Z,2004-06-25T18:29:47Z,502127.765696659,6782259.43920797,347.012
2004-06-25T21:00:17Z,2004-06-25T21:29:47Z,502127.353347128,6782259.14594766,346.989
2004-06-26T00:00:17Z,2004-06-26T00:29:47Z,502126.90187008,6782258.82203218,346.981
2004-06-26T03:00:17Z,2004-06-26T03:29:47Z,502126.429022715,6782258.50522025,346.985
2004-06-26T06:00:17Z,2004-06-26T06:29:47Z,502125.932733266,6782258.16240382,346.939
2004-06-26T09:00:17Z,2004-06-26T09:29:47Z,502125.473480359,6782257.84869434,346.952
2004-06-26T12:00:17Z,2004-06-26T12:29:47Z,502125.040671267,6782257.5384044,346.924
2004-06-26T15:00:17Z,2004-06-26T15:29:47Z,502124.625630372,6782257.24761806,346.912
2004-06-26T18:00:17Z,2004-06-26T18:29:47Z,502124.218647015,6782256.97447297,346.862
2004-06-26T21:00:17Z,2004-06-26T21:29:47Z,502123.806597966,6782256.67750034,346.864
2004-06-27T00:00:17Z,2004-06-27T00:29:47Z,502123.350486813,6782256.3563672,346.834
2004-06-27T03:00:17Z,2004-06-27T03:29:47Z,502122.874363866,6782256.01944216,346.823
2004-06-27T06:00:17Z,2004-06-27T06:29:47Z,502122.407041774,6782255.70634703,346.812
2004-06-27T09:00:17Z,2004-06-27T09:29:47Z,502121.959880544,6782255.40935343,346.813
2004-06-27T12:00:17Z,2004-06-27T12:29:47Z,502121.544546664,6782255.10804734,346.766
2004-06-27T15:00:17Z,2004-06-27T15:29:47Z,502121.154156912,6782254.81944214,346.761
2004-06-27T18:00:17Z,2004-06-27T18:29:47Z,502120.763898225,6782254.56115921,346.75
2004-06-27T21:00:17Z,2004-06-27T21:29:47Z,502120.374547707,6782254.28338405,346.751
2004-06-28T00:00:17Z,2004-06-28T00:29:47Z,502119.967878725,6782253.98332102,346.714
2004-06-28T03:00:17Z,2004-06-28T03:29:47Z,502119.530739441,6782253.66684096,346.701
2004-06-28T06:00:17Z,2004-06-28T06:29:47Z,502119.104333164,6782253.39120949,346.659
2004-06-28T09:00:17Z,2004-06-28T09:29:47Z,502118.678389406,6782253.09175381,346.674
2004-06-28T12:00:17Z,2004-06-28T12:29:47Z,502118.36122485,6782252.78060612,346.799
2004-06-28T15:00:17Z,2004-06-28T15:29:47Z,502117.89610045,6782252.53836772,346.635
2004-06-28T18:00:17Z,2004-06-28T18:29:47Z,502117.515253509,6782252.28132845,346.612
2004-06-28T21:00:17Z,2004-06-28T21:29:47Z,502117.136357065,6782252.01067637,346.603
2004-06-29T00:00:17Z,2004-06-29T00:29:47Z,502116.749694842,6782251.73383147,346.577
2004-06-29T03:00:17Z,2004-06-29T03:29:47Z,502116.353181391,6782251.44027257,346.559
2004-06-29T09:00:17Z,2004-06-29T09:29:47Z,502114.999492882,6782250.21698096,347.027
2004-06-29T12:00:17Z,2004-06-29T12:29:47Z,502115.206324601,6782250.63944947,346.504
2004-06-29T15:00:17Z,2004-06-29T15:29:47Z,502114.850425044,6782250.38923251,346.5
2004-06-29T18:00:17Z,2004-06-29T18:29:47Z,502114.483175483,6782250.13003587,346.478
2004-06-29T21:00:17Z,2004-06-29T21:29:47Z,502114.115322453,6782249.88043062,346.465
2004-06-30T00:00:17Z,2004-06-30T00:29:47Z,502113.724028901,6782249.60203622,346.441
2004-06-30T03:00:17Z,2004-06-30T03:29:47Z,502113.308089659,6782249.31125067,346.422
2004-06-30T06:00:17Z,2004-06-30T06:29:47Z,502112.883334637,6782249.0210787,346.398
2004-06-30T09:00:17Z,2004-06-30T09:29:47Z,502112.455136183,6782248.74235286,346.418
2004-06-30T12:00:17Z,2004-06-30T12:29:47Z,502112.043384745,6782248.44414415,346.369
2004-06-30T15:00:17Z,2004-06-30T15:29:47Z,502111.654774722,6782248.17503389,346.364
2004-06-30T18:00:17Z,2004-06-30T18:29:47Z,502111.271538666,6782247.91397154,346.349
2004-06-30T21:00:17Z,2004-06-30T21:29:47Z,502110.891742381,6782247.64734192,346.34
2004-07-01T00:00:17Z,2004-07-01T00:29:47Z,502110.502236079,6782247.37761242,346.314
2004-07-01T03:00:17Z,2004-07-01T03:29:47Z,502110.100191494,6782247.087145,346.3
2004-07-01T06:00:17Z,2004-07-01T06:29:47Z,502109.719797752,6782246.81989634,346.265
2004-07-01T09:00:17Z,2004-07-01T09:29:47Z,502109.329565542,6782246.51458443,345.998
2004-07-01T12:00:17Z,2004-07-01T12:29:47Z,502108.926898068,6782246.26588707,346.253
2004-07-01T15:00:17Z,2004-07-01T15:29:47Z,502108.556511457,6782246.0042139,346.225
2004-07-01T18:00:17Z,2004-07-01T18:29:47Z,502108.189706987,6782245.74873111,346.22
2004-07-01T21:00:17Z,2004-07-01T21:29:47Z,502107.818418231,6782245.49633977,346.211
2004-07-02T00:00:17Z,2004-07-02T00:29:47Z,502107.441613384,6782245.22352413,346.185
2004-07-02T03:00:17Z,2004-07-02T03:29:47Z,502107.059115603,6782244.9760767,346.162
2004-07-02T06:00:17Z,2004-07-02T06:29:47Z,502106.668274002,6782244.68963871,346.148
2004-07-02T09:00:17Z,2004-07-02T09:29:47Z,502106.279810157,6782244.42455145,346.154
2004-07-02T12:00:17Z,2004-07-02T12:29:47Z,502105.895686077,6782244.14801868,346.114
2004-07-02T15:00:17Z,2004-07-02T15:29:47Z,502105.520220467,6782243.88386751,346.087
2004-07-02T18:00:17Z,2004-07-02T18:29:47Z,502105.146390936,6782243.63209375,346.082
2004-07-02T21:00:17Z,2004-07-02T21:29:47Z,502104.766591689,6782243.3688683,346.077
2004-07-03T00:00:17Z,2004-07-03T00:29:47Z,502104.377984066,6782243.09388006,346.047
2004-07-03T03:00:17Z,2004-07-03T03:29:47Z,502103.990568908,6782242.82353372,346.025
2004-07-03T06:00:17Z,2004-07-03T06:29:47Z,502103.60733799,6782242.55195228,345.989
2004-07-03T09:00:17Z,2004-07-03T09:29:47Z,502103.217228658,6782242.28933965,346.006
2004-07-03T12:00:17Z,2004-07-03T12:29:47Z,502102.839227811,6782242.01652379,345.972
2004-07-03T15:00:17Z,2004-07-03T15:29:47Z,502102.468391323,6782241.75608864,345.933
2004-07-03T18:00:17Z,2004-07-03T18:29:47Z,502102.100539893,6782241.50091527,345.922
2004-07-03T21:00:17Z,2004-07-03T21:29:47Z,502101.720292504,6782241.23676165,345.934
2004-07-04T00:00:17Z,2004-07-04T00:29:47Z,502101.320630075,6782240.95805423,345.903
2004-07-04T03:00:17Z,2004-07-04T03:29:47Z,502100.919027431,6782240.67563278,345.889
2004-07-04T06:00:17Z,2004-07-04T06:29:47Z,502100.50995297,6782240.39506336,345.864
2004-07-04T09:00:17Z,2004-07-04T09:29:47Z,502100.094154311,6782240.11541822,345.874
2004-07-04T12:00:17Z,2004-07-04T12:29:47Z,502099.688672094,6782239.82402171,345.849
2004-07-04T15:00:17Z,2004-07-04T15:29:47Z,502099.290802297,6782239.54531559,345.815
2004-07-04T18:00:17Z,2004-07-04T18:29:47Z,502098.889937163,6782239.27836529,345.812
2004-07-04T21:00:17Z,2004-07-04T21:29:47Z,502098.480411926,6782239.00150876,345.807
2004-07-05T00:00:17Z,2004-07-05T00:29:47Z,502098.051923912,6782238.70329171,345.783
2004-07-05T03:00:17Z,2004-07-05T03:29:47Z,502097.586096605,6782238.38153731,345.786
2004-07-05T06:00:17Z,2004-07-05T06:29:47Z,502097.142680422,6782238.06103397,345.689
2004-07-05T09:00:17Z,2004-07-05T09:29:47Z,502096.67936881,6782237.77981386,345.736
2004-07-05T12:00:17Z,2004-07-05T12:29:47Z,502096.240877751,6782237.46828645,345.718
2004-07-05T15:00:17Z,2004-07-05T15:29:47Z,502095.824487021,6782237.17812152,345.686
2004-07-05T18:00:17Z,2004-07-05T18:29:47Z,502095.420489212,6782236.90188747,345.667
2004-07-05T21:00:17Z,2004-07-05T21:29:47Z,502095.01395408,6782236.6210108,345.675
2004-07-06T00:00:17Z,2004-07-06T00:29:47Z,502094.588753121,6782236.3218679,345.646
2004-07-06T03:00:17Z,2004-07-06T03:29:47Z,502094.163996462,6782236.02922292,345.626
2004-07-06T06:00:17Z,2004-07-06T06:29:47Z,502093.734304127,6782235.74492911,345.615
2004-07-06T09:00:17Z,2004-07-06T09:29:47Z,502093.327176415,6782235.45507941,345.595
2004-07-06T12:00:17Z,2004-07-06T12:29:47Z,502092.931252042,6782235.16956815,345.57
2004-07-06T15:00:17Z,2004-07-06T15:29:47Z,502092.549817362,6782234.88963493,345.555
2004-07-06T18:00:17Z,2004-07-06T18:29:47Z,502092.186146958,6782234.63632155,345.524
2004-07-06T21:00:17Z,2004-07-06T21:29:47Z,502091.803204047,6782234.37990264,345.527
2004-07-07T00:00:17Z,2004-07-07T00:29:47Z,502091.371130828,6782234.07859018,345.505
2004-07-07T03:00:17Z,2004-07-07T03:29:47Z,502090.914254949,6782233.77726302,345.502
