id,t,x,y,z
n1.1,2010-05-04,492847.709,6805418.628,2663.7717
n1.1,2010-05-05,492847.793,6805418.715,2663.7396
n1.1,2010-05-06,492847.964,6805418.903,2663.6548
n1.1,2010-05-07,492848.135,6805419.088,2663.5684
n1.1,2010-05-08,492848.303,6805419.283,2663.4851
n1.1,2010-05-09,492848.456,6805419.44,2663.4345
n1.1,2010-05-10,492848.618,6805419.623,2663.358
n1.1,2010-05-11,492848.776,6805419.802,2663.2838
n1.1,2010-05-12,492848.937,6805419.984,2663.215
n1.1,2010-05-13,492849.13,6805420.178,2663.1173
n1.1,2010-05-14,492849.286,6805420.361,2663.0559
n1.1,2010-05-15,492849.422,6805420.518,2662.9905
n1.2,2010-05-18,492850.984,6805421.846,2663.924
n1.2,2010-05-19,492851.142,6805422.022,2663.7597
n1.2,2010-05-20,492851.298,6805422.201,2663.6142
n1.2,2010-05-21,492851.453,6805422.364,2663.4911
n1.2,2010-05-22,492851.614,6805422.534,2663.3829
n1.2,2010-05-23,492851.773,6805422.704,2663.3124
n1.2,2010-05-24,492851.913,6805422.88,2663.2141
n1.2,2010-05-25,492851.993,6805423.075,2663.1205
n1.2,2010-05-26,492852.088,6805423.211,2662.9837
n1.2,2010-05-27,492852.141,6805423.338,2662.8533
n1.2,2010-05-28,492852.184,6805423.43,2662.6909
n1.2,2010-05-29,492852.344,6805423.613,2662.6025
n1.2,2010-05-30,492852.403,6805423.693,2662.4828
n1.2,2010-05-31,492852.499,6805423.829,2662.3627
n1.2,2010-06-01,492852.62,6805423.99,2662.2515
n1.2,2010-06-02,492852.779,6805424.169,2662.1675
n1.2,2010-06-03,492852.914,6805424.339,2662.1123
n1.2,2010-06-04,492853.054,6805424.512,2662.0457
n1.2,2010-06-05,492853.236,6805424.7,2661.9664
n1.2,2010-06-06,492853.392,6805424.879,2661.9257
n1.2,2010-06-07,492853.563,6805425.061,2661.8595
n1.2,2010-06-08,492853.725,6805425.244,2661.8158
n1.2,2010-06-09,492853.89,6805425.423,2661.7624
n1.2,2010-06-10,492854.063,6805425.608,2661.7177
n1.2,2010-06-11,492854.218,6805425.781,2661.6815
n1.2,2010-06-12,492854.375,6805425.951,2661.6165
n1.2,2010-06-25,492856.363,6805428.23,2661.005
n1.2,2010-07-01,492857.453,6805429.357,2660.6692
n1.2,2010-07-02,492857.605,6805429.62,2660.5741
n1.2,2010-07-03,492857.816,6805429.737,2660.5826
n2.1,2010-05-04,497977.473,6808729.533,2231.2405
n2.1,2010-05-05,497977.741,6808729.511,2231.2273
n2.1,2010-05-06,497978.547,6808729.687,2231.1498
n2.1,2010-05-07,497979.365,6808729.841,2231.0801
n2.1,2010-05-08,497980.218,6808730.008,2230.9723
n2.1,2010-05-09,497980.982,6808730.134,2230.9148
n2.1,2010-05-10,497981.788,6808730.279,2230.8487
n2.1,2010-05-11,497982.586,6808730.434,2230.7886
n2.1,2010-05-12,497983.442,6808730.594,2230.6895
n2.1,2010-05-13,497984.311,6808730.767,2230.5823
n2.1,2010-05-14,497985.084,6808730.918,2230.5174
n2.1,2010-05-15,497985.883,6808731.069,2230.4723
n2.1,2010-05-16,497986.616,6808731.195,2230.4108
n2.2,2010-05-18,497989.978,6808731.896,2230.6985
n2.2,2010-05-19,497990.274,6808731.905,2230.7725
n2.2,2010-05-20,497991.071,6808732.028,2230.6695
n2.2,2010-05-21,497991.879,6808732.179,2230.5713
n2.2,2010-05-22,497992.715,6808732.352,2230.4
n2.2,2010-05-23,497993.451,6808732.479,2230.3657
n2.2,2010-05-24,497994.212,6808732.636,2230.2824
n2.2,2010-05-25,497994.977,6808732.787,2230.2191
n2.2,2010-05-26,497995.627,6808732.954,2230.055
n2.2,2010-05-27,497996.178,6808733.093,2229.9501
n2.2,2010-05-28,497996.674,6808733.21,2229.7111
n2.2,2010-05-29,497996.936,6808733.201,2228.8342
n2.2,2010-05-30,497997.74,6808733.281,2228.5834
n2.2,2010-05-31,497998.472,6808733.342,2228.4385
n2.2,2010-06-01,497999.319,6808733.521,2228.2867
n2.2,2010-06-02,498000.144,6808733.703,2228.1824
n3.1,2010-05-04,503897.984,6806414.578,1939.1348
n3.1,2010-05-05,503898.222,6806414.448,1939.164
n3.1,2010-05-06,503898.728,6806414.217,1939.1261
n3.1,2010-05-07,503899.255,6806413.97,1939.0634
n3.1,2010-05-08,503899.766,6806413.713,1939.0154
n3.1,2010-05-09,503900.277,6806413.473,1938.978
