
Project:     S1R2 a-d
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 18:28:46

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
52-K  18:01:30.00  5/18/2010   504669.991  6785022.797  339.102   2.615   1.676 4
53-K  18:02:00.00  5/18/2010   504670.053  6785022.695  338.718   3.283   3.393 4
54-K  18:02:30.00  5/18/2010   504670.006  6785022.559  338.657   3.429   3.396 4
55-K  18:03:00.00  5/18/2010   504670.043  6785022.619  339.317   3.016   3.457 4
56-K  18:03:30.00  5/18/2010   504670.130  6785022.653  339.304   2.374   1.785 4
58-K  18:04:30.00  5/18/2010   504669.996  6785022.668  339.480   0.029   0.039 2
59-K  18:05:00.00  5/18/2010   504669.993  6785022.662  339.484   0.028   0.038 2
60-K  18:05:30.00  5/18/2010   504669.990  6785022.663  339.479   0.031   0.036 2
61-K  18:06:00.00  5/18/2010   504669.987  6785022.663  339.483   0.032   0.034 2
62-K  18:06:30.00  5/18/2010   504669.986  6785022.659  339.475   0.033   0.033 2
63-K  18:07:00.00  5/18/2010   504669.983  6785022.654  339.475   0.034   0.032 2
64-K  18:07:30.00  5/18/2010   504669.982  6785022.649  339.474   0.034   0.032 2
65-K  18:08:00.00  5/18/2010   504669.979  6785022.647  339.471   0.034   0.032 2
66-K  18:08:30.00  5/18/2010   504669.976  6785022.644  339.468   0.034   0.031 2
67-K  18:09:00.00  5/18/2010   504669.974  6785022.643  339.470   0.034   0.031 2
68-K  18:09:30.00  5/18/2010   504669.972  6785022.638  339.468   0.034   0.031 2
69-K  18:10:00.00  5/18/2010   504669.969  6785022.633  339.469   0.034   0.031 2
70-K  18:10:30.00  5/18/2010   504669.972  6785022.631  339.470   0.034   0.031 2
71-K  18:11:00.00  5/18/2010   504669.969  6785022.624  339.471   0.034   0.031 2
72-K  18:11:30.00  5/18/2010   504669.966  6785022.621  339.462   0.034   0.031 2
73-K  18:12:00.00  5/18/2010   504669.964  6785022.615  339.457   0.034   0.031 2
74-K  18:12:30.00  5/18/2010   504669.963  6785022.613  339.457   0.034   0.031 2
75-K  18:13:00.00  5/18/2010   504669.960  6785022.609  339.463   0.034   0.031 2
76-K  18:13:30.00  5/18/2010   504669.959  6785022.606  339.459   0.034   0.030 2
77-K  18:14:00.00  5/18/2010   504669.955  6785022.603  339.458   0.034   0.030 2
78-K  18:14:30.00  5/18/2010   504669.954  6785022.603  339.460   0.034   0.030 2
79-K  18:15:00.00  5/18/2010   504669.952  6785022.597  339.455   0.034   0.030 2
80-K  18:15:30.00  5/18/2010   504669.951  6785022.595  339.458   0.034   0.030 2
81-K  18:16:00.00  5/18/2010   504669.949  6785022.596  339.456   0.034   0.030 2
82-K  18:16:30.00  5/18/2010   504669.948  6785022.594  339.457   0.034   0.030 2
83-K  18:17:00.00  5/18/2010   504669.945  6785022.590  339.459   0.034   0.030 2
84-K  18:17:30.00  5/18/2010   504669.944  6785022.589  339.456   0.034   0.030 2
85-K  18:18:00.00  5/18/2010   504669.941  6785022.586  339.457   0.034   0.030 2
86-K  18:18:30.00  5/18/2010   504669.940  6785022.584  339.458   0.033   0.029 2
87-K  18:19:00.00  5/18/2010   504669.936  6785022.581  339.461   0.033   0.029 2
88-K  18:19:30.00  5/18/2010   504669.935  6785022.577  339.453   0.033   0.029 2
89-K  18:20:00.00  5/18/2010   504669.932  6785022.574  339.456   0.033   0.029 2
90-K  18:20:30.00  5/18/2010   504669.931  6785022.571  339.456   0.033   0.029 2
91-K  18:21:00.00  5/18/2010   504669.925  6785022.573  339.457   0.033   0.029 2
92-K  18:21:30.00  5/18/2010   504669.925  6785022.570  339.460   0.033   0.029 2
93-K  18:22:00.00  5/18/2010   504669.920  6785022.567  339.458   0.033   0.029 2
94-K  18:22:30.00  5/18/2010   504669.918  6785022.567  339.461   0.033   0.029 2
95-K  18:23:00.00  5/18/2010   504669.917  6785022.566  339.460   0.033   0.029 2
