
Project:     S1R3 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/20/2010 at 11:47:37

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base 3, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
48-K  18:01:30.00  5/18/2010   507487.424  6786622.462  422.417   2.619   1.686 4
49-K  18:02:00.00  5/18/2010   507487.432  6786622.193  422.245   3.286   3.406 4
50-K  18:02:30.00  5/18/2010   507487.384  6786622.140  422.246   3.431   3.419 4
51-K  18:03:00.00  5/18/2010   507487.444  6786622.258  422.520   3.019   3.470 4
52-K  18:03:30.00  5/18/2010   507487.518  6786622.246  422.514   2.376   1.796 4
54-K  18:04:30.00  5/18/2010   507487.349  6786622.383  422.672   0.029   0.040 2
55-K  18:05:00.00  5/18/2010   507487.347  6786622.381  422.685   0.028   0.038 2
56-K  18:05:30.00  5/18/2010   507487.344  6786622.381  422.675   0.031   0.036 2
57-K  18:06:00.00  5/18/2010   507487.342  6786622.383  422.679   0.033   0.034 2
58-K  18:06:30.00  5/18/2010   507487.341  6786622.380  422.673   0.034   0.033 2
59-K  18:07:00.00  5/18/2010   507487.341  6786622.376  422.669   0.034   0.033 2
60-K  18:07:30.00  5/18/2010   507487.340  6786622.374  422.668   0.035   0.032 2
61-K  18:08:00.00  5/18/2010   507487.338  6786622.374  422.667   0.035   0.032 2
62-K  18:08:30.00  5/18/2010   507487.335  6786622.372  422.662   0.035   0.032 2
63-K  18:09:00.00  5/18/2010   507487.336  6786622.370  422.663   0.035   0.032 2
64-K  18:09:30.00  5/18/2010   507487.334  6786622.370  422.666   0.035   0.032 2
65-K  18:10:00.00  5/18/2010   507487.333  6786622.368  422.663   0.035   0.031 2
66-K  18:10:30.00  5/18/2010   507487.332  6786622.367  422.670   0.035   0.031 2
67-K  18:11:00.00  5/18/2010   507487.332  6786622.360  422.661   0.035   0.031 2
68-K  18:11:30.00  5/18/2010   507487.330  6786622.359  422.658   0.035   0.031 2
69-K  18:12:00.00  5/18/2010   507487.332  6786622.356  422.655   0.035   0.031 2
70-K  18:12:30.00  5/18/2010   507487.331  6786622.352  422.660   0.035   0.031 2
71-K  18:13:00.00  5/18/2010   507487.329  6786622.353  422.659   0.035   0.031 2
72-K  18:13:30.00  5/18/2010   507487.329  6786622.349  422.655   0.035   0.031 2
73-K  18:14:00.00  5/18/2010   507487.324  6786622.350  422.662   0.035   0.031 2
74-K  18:14:30.00  5/18/2010   507487.325  6786622.349  422.661   0.035   0.031 2
75-K  18:15:00.00  5/18/2010   507487.324  6786622.347  422.660   0.035   0.031 2
76-K  18:15:30.00  5/18/2010   507487.325  6786622.344  422.661   0.035   0.031 2
77-K  18:16:00.00  5/18/2010   507487.322  6786622.345  422.660   0.034   0.031 2
78-K  18:16:30.00  5/18/2010   507487.323  6786622.345  422.657   0.034   0.031 2
79-K  18:17:00.00  5/18/2010   507487.322  6786622.339  422.658   0.034   0.031 2
80-K  18:17:30.00  5/18/2010   507487.321  6786622.343  422.663   0.034   0.031 2
81-K  18:18:00.00  5/18/2010   507487.320  6786622.343  422.665   0.034   0.031 2
82-K  18:18:30.00  5/18/2010   507487.319  6786622.342  422.664   0.033   0.029 2
83-K  18:19:00.00  5/18/2010   507487.317  6786622.340  422.668   0.033   0.029 2
84-K  18:19:30.00  5/18/2010   507487.314  6786622.339  422.665   0.033   0.029 2
85-K  18:20:00.00  5/18/2010   507487.314  6786622.337  422.666   0.033   0.029 2
86-K  18:20:30.00  5/18/2010   507487.312  6786622.336  422.659   0.033   0.029 2
87-K  18:21:00.00  5/18/2010   507487.309  6786622.341  422.663   0.033   0.029 2
88-K  18:21:30.00  5/18/2010   507487.309  6786622.338  422.663   0.033   0.029 2
89-K  18:22:00.00  5/18/2010   507487.309  6786622.337  422.666   0.033   0.029 2
90-K  18:22:30.00  5/18/2010   507487.306  6786622.336  422.670   0.033   0.029 2
91-K  18:23:00.00  5/18/2010   507487.305  6786622.336  422.662   0.033   0.029 2
