t,x,y,z
124.0000,503897.9840,6806414.5780,1939.1348
125.0000,503898.2220,6806414.4480,1939.1640
126.0000,503898.7280,6806414.2170,1939.1261
127.0000,503899.2550,6806413.9700,1939.0634
128.0000,503899.7660,6806413.7130,1939.0154
129.0000,503900.2770,6806413.4730,1938.9780
130.0000,503900.7730,6806413.2200,1938.9116
131.0000,503901.2600,6806412.9850,1938.8731
132.0000,503901.7730,6806412.7440,1938.8387
133.0000,503902.3210,6806412.5000,1938.7998
134.0000,503902.8020,6806412.2750,1938.7523
135.0000,503903.3110,6806412.0400,1938.6912
136.0000,503903.8040,6806411.7930,1938.6520
137.0000,503904.3090,6806411.5560,1938.5950
138.0000,503904.5820,6806410.3400,1939.0427
139.0000,503904.7970,6806410.2260,1939.0535
140.0000,503905.2740,6806409.9910,1938.9475
141.0000,503905.7850,6806409.7690,1938.8620
142.0000,503906.2920,6806409.5310,1938.7770
143.0000,503906.7530,6806409.2630,1938.7226
144.0000,503907.2930,6806408.9570,1938.6627
145.0000,503907.7800,6806408.6050,1938.6195
146.0000,503908.2720,6806408.2490,1938.5296
147.0000,503908.7260,6806407.9280,1938.4666
148.0000,503909.1580,6806407.5970,1938.4168
149.0000,503909.6250,6806407.2670,1938.2962
150.0000,503909.9410,6806406.8770,1938.1444
151.0000,503910.2870,6806406.5000,1937.9665
152.0000,503910.7030,6806406.1330,1937.8218
153.0000,503911.0860,6806405.8110,1937.6536
154.0000,503911.5140,6806405.4650,1937.3648
155.0000,503912.0160,6806405.2060,1937.3690
156.0000,503912.5560,6806404.9710,1937.2962
157.0000,503913.0760,6806404.7030,1937.1986
158.0000,503913.5530,6806404.4710,1937.1431
