t,hourly_height
2005-09-01T01:00:00Z,1.555
2005-09-01T02:00:00Z,1.277
2005-09-01T03:00:00Z,1.251
2005-09-01T04:00:00Z,1.529
2005-09-01T05:00:00Z,2.031
2005-09-01T06:00:00Z,2.621
2005-09-01T07:00:00Z,3.129
2005-09-01T08:00:00Z,3.430
2005-09-01T09:00:00Z,3.404
2005-09-01T10:00:00Z,3.038
2005-09-01T11:00:00Z,2.395
2005-09-01T12:00:00Z,1.586
2005-09-01T13:00:00Z,0.819
2005-09-01T14:00:00Z,0.238
2005-09-01T15:00:00Z,-0.021
2005-09-01T16:00:00Z,0.120
2005-09-01T17:00:00Z,0.604
2005-09-01T18:00:00Z,1.305
2005-09-01T19:00:00Z,2.031
2005-09-01T20:00:00Z,2.627
2005-09-01T21:00:00Z,2.974
2005-09-01T22:00:00Z,3.010
2005-09-01T23:00:00Z,2.749
2005-09-02T00:00:00Z,2.255
2005-09-02T01:00:00Z,1.681
2005-09-02T02:00:00Z,1.204
2005-09-02T03:00:00Z,0.970
2005-09-02T04:00:00Z,1.096
2005-09-02T05:00:00Z,1.566
2005-09-02T06:00:00Z,2.233
2005-09-02T07:00:00Z,2.875
2005-09-02T08:00:00Z,3.342
2005-09-02T09:00:00Z,3.525
2005-09-02T10:00:00Z,3.370
2005-09-02T11:00:00Z,2.873
2005-09-02T12:00:00Z,2.117
2005-09-02T13:00:00Z,1.246
2005-09-02T14:00:00Z,0.454
2005-09-02T15:00:00Z,-0.042
2005-09-02T16:00:00Z,-0.108
2005-09-02T17:00:00Z,0.263
2005-09-02T18:00:00Z,0.966
2005-09-02T19:00:00Z,1.795
2005-09-02T20:00:00Z,2.516
2005-09-02T21:00:00Z,3.004
2005-09-02T22:00:00Z,3.171
2005-09-02T23:00:00Z,3.016
2005-09-03T00:00:00Z,2.582
2005-09-03T01:00:00Z,1.952
2005-09-03T02:00:00Z,1.306
2005-09-03T03:00:00Z,0.840
2005-09-03T04:00:00Z,0.747
2005-09-03T05:00:00Z,1.081
2005-09-03T06:00:00Z,1.736
2005-09-03T07:00:00Z,2.496
2005-09-03T08:00:00Z,3.121
2005-09-03T09:00:00Z,3.512
2005-09-03T10:00:00Z,3.555
2005-09-03T11:00:00Z,3.232
2005-09-03T12:00:00Z,2.597
2005-09-03T13:00:00Z,1.736
2005-09-03T14:00:00Z,0.829
2005-09-03T15:00:00Z,0.126
2005-09-03T16:00:00Z,-0.180
2005-09-03T17:00:00Z,0.015
2005-09-03T18:00:00Z,0.636
2005-09-03T19:00:00Z,1.485
2005-09-03T20:00:00Z,2.302
2005-09-03T21:00:00Z,2.916
2005-09-03T22:00:00Z,3.242
2005-09-03T23:00:00Z,3.227
2005-09-04T00:00:00Z,2.864
2005-09-04T01:00:00Z,2.245
2005-09-04T02:00:00Z,1.498
2005-09-04T03:00:00Z,0.845
2005-09-04T04:00:00Z,0.519
2005-09-04T05:00:00Z,0.641
2005-09-04T06:00:00Z,1.193
2005-09-04T07:00:00Z,1.994
2005-09-04T08:00:00Z,2.789
2005-09-04T09:00:00Z,3.379
2005-09-04T10:00:00Z,3.649
2005-09-04T11:00:00Z,3.529
2005-09-04T12:00:00Z,3.043
2005-09-04T13:00:00Z,2.249
2005-09-04T14:00:00Z,1.339
2005-09-04T15:00:00Z,0.520
2005-09-04T16:00:00Z,0.005
2005-09-04T17:00:00Z,-0.048
2005-09-04T18:00:00Z,0.404
2005-09-04T19:00:00Z,1.231
2005-09-04T20:00:00Z,2.140
2005-09-04T21:00:00Z,2.928
2005-09-04T22:00:00Z,3.398
2005-09-04T23:00:00Z,3.501
2005-09-05T00:00:00Z,3.238
2005-09-05T01:00:00Z,2.664
2005-09-05T02:00:00Z,1.906
2005-09-05T03:00:00Z,1.126
2005-09-05T04:00:00Z,0.557
2005-09-05T05:00:00Z,0.398
2005-09-05T06:00:00Z,0.733
2005-09-05T07:00:00Z,1.469
2005-09-05T08:00:00Z,2.351
2005-09-05T09:00:00Z,3.121
2005-09-05T10:00:00Z,3.557
2005-09-05T11:00:00Z,3.623
2005-09-05T12:00:00Z,3.305
2005-09-05T13:00:00Z,2.677
2005-09-05T14:00:00Z,1.836
2005-09-05T15:00:00Z,0.965
2005-09-05T16:00:00Z,0.290
2005-09-05T17:00:00Z,0.013
2005-09-05T18:00:00Z,0.236
2005-09-05T19:00:00Z,0.935
2005-09-05T20:00:00Z,1.876
2005-09-05T21:00:00Z,2.770
2005-09-05T22:00:00Z,3.387
2005-09-05T23:00:00Z,3.638
2005-09-06T00:00:00Z,3.456
2005-09-06T01:00:00Z,2.972
2005-09-06T02:00:00Z,2.275
2005-09-06T03:00:00Z,1.479
2005-09-06T04:00:00Z,0.755
2005-09-06T05:00:00Z,0.329
2005-09-06T06:00:00Z,0.392
2005-09-06T07:00:00Z,0.955
2005-09-06T08:00:00Z,1.819
2005-09-06T09:00:00Z,2.666
2005-09-06T10:00:00Z,3.304
2005-09-06T11:00:00Z,3.601
2005-09-06T12:00:00Z,3.511
2005-09-06T13:00:00Z,3.061
2005-09-06T14:00:00Z,2.355
2005-09-06T15:00:00Z,1.550
2005-09-06T16:00:00Z,0.819
2005-09-06T17:00:00Z,0.352
2005-09-06T18:00:00Z,0.356
2005-09-06T19:00:00Z,0.843
2005-09-06T20:00:00Z,1.668
2005-09-06T21:00:00Z,2.567
2005-09-06T22:00:00Z,3.303
2005-09-06T23:00:00Z,3.710
2005-09-07T00:00:00Z,3.717
2005-09-07T01:00:00Z,3.422
2005-09-07T02:00:00Z,2.777
2005-09-07T03:00:00Z,1.957
2005-09-07T04:00:00Z,1.119
2005-09-07T05:00:00Z,0.491
2005-09-07T06:00:00Z,0.295
2005-09-07T07:00:00Z,0.610
2005-09-07T08:00:00Z,1.307
2005-09-07T09:00:00Z,2.145
2005-09-07T10:00:00Z,2.878
2005-09-07T11:00:00Z,3.361
2005-09-07T12:00:00Z,3.496
2005-09-07T13:00:00Z,3.243
2005-09-07T14:00:00Z,2.684
2005-09-07T15:00:00Z,1.955
2005-09-07T16:00:00Z,1.216
2005-09-07T17:00:00Z,0.646
2005-09-07T18:00:00Z,0.415
2005-09-07T19:00:00Z,0.660
2005-09-07T20:00:00Z,1.338
2005-09-07T21:00:00Z,2.210
2005-09-07T22:00:00Z,3.019
2005-09-07T23:00:00Z,3.541
2005-09-08T00:00:00Z,3.715
2005-09-08T01:00:00Z,3.521
2005-09-08T02:00:00Z,2.999
2005-09-08T03:00:00Z,2.237
2005-09-08T04:00:00Z,1.400
2005-09-08T05:00:00Z,0.667
2005-09-08T06:00:00Z,0.211
2005-09-08T07:00:00Z,0.192
2005-09-08T08:00:00Z,0.642
2005-09-08T09:00:00Z,1.382
2005-09-08T10:00:00Z,2.158
2005-09-08T11:00:00Z,2.770
2005-09-08T12:00:00Z,3.073
2005-09-08T13:00:00Z,3.033
2005-09-08T14:00:00Z,2.685
2005-09-08T15:00:00Z,2.155
2005-09-08T16:00:00Z,1.526
2005-09-08T17:00:00Z,0.959
2005-09-08T18:00:00Z,0.590
2005-09-08T19:00:00Z,0.581
2005-09-08T20:00:00Z,1.016
2005-09-08T21:00:00Z,1.774
2005-09-08T22:00:00Z,2.592
2005-09-08T23:00:00Z,3.221
2005-09-09T00:00:00Z,3.545
2005-09-09T01:00:00Z,3.530
2005-09-09T02:00:00Z,3.166
2005-09-09T03:00:00Z,2.549
2005-09-09T04:00:00Z,1.775
2005-09-09T05:00:00Z,1.016
2005-09-09T06:00:00Z,0.419
2005-09-09T07:00:00Z,0.128
2005-09-09T08:00:00Z,0.238
2005-09-09T09:00:00Z,0.724
2005-09-09T10:00:00Z,1.417
2005-09-09T11:00:00Z,2.099
2005-09-09T12:00:00Z,2.569
2005-09-09T13:00:00Z,2.740
2005-09-09T14:00:00Z,2.637
2005-09-09T15:00:00Z,2.295
2005-09-09T16:00:00Z,1.845
2005-09-09T17:00:00Z,1.357
2005-09-09T18:00:00Z,0.951
2005-09-09T19:00:00Z,0.763
2005-09-09T20:00:00Z,0.930
2005-09-09T21:00:00Z,1.447
2005-09-09T22:00:00Z,2.173
2005-09-09T23:00:00Z,2.871
2005-09-10T00:00:00Z,3.319
2005-09-10T01:00:00Z,3.481
2005-09-10T02:00:00Z,3.341
2005-09-10T03:00:00Z,2.918
2005-09-10T04:00:00Z,2.363
2005-09-10T05:00:00Z,1.643
2005-09-10T06:00:00Z,0.960
2005-09-10T07:00:00Z,0.462
2005-09-10T08:00:00Z,0.269
2005-09-10T09:00:00Z,0.494
2005-09-10T10:00:00Z,0.980
2005-09-10T11:00:00Z,1.554
2005-09-10T12:00:00Z,2.071
2005-09-10T13:00:00Z,2.385
2005-09-10T14:00:00Z,2.502
2005-09-10T15:00:00Z,2.463
2005-09-10T16:00:00Z,2.224
2005-09-10T17:00:00Z,1.845
2005-09-10T18:00:00Z,1.454
2005-09-10T19:00:00Z,1.148
2005-09-10T20:00:00Z,1.119
2005-09-10T21:00:00Z,1.423
2005-09-10T22:00:00Z,1.940
2005-09-10T23:00:00Z,2.522
2005-09-11T00:00:00Z,2.987
2005-09-11T01:00:00Z,3.268
2005-09-11T02:00:00Z,3.338
2005-09-11T03:00:00Z,3.162
2005-09-11T04:00:00Z,2.756
2005-09-11T05:00:00Z,2.194
2005-09-11T06:00:00Z,1.531
2005-09-11T07:00:00Z,0.911
2005-09-11T08:00:00Z,0.466
2005-09-11T09:00:00Z,0.330
2005-09-11T10:00:00Z,0.501
2005-09-11T11:00:00Z,0.873
2005-09-11T12:00:00Z,1.319
2005-09-11T13:00:00Z,1.726
2005-09-11T14:00:00Z,1.987
2005-09-11T15:00:00Z,2.145
2005-09-11T16:00:00Z,2.199
