marker,t,x,y
11,1984-08-12T01:30:02Z,497621.696511922,6765263.95022224
11,1984-08-12T01:46:01Z,497621.674495548,6765263.83269456
11,1984-08-12T02:00:00Z,497621.655187558,6765263.72962476
11,1984-08-12T02:14:58Z,497621.634431499,6765263.6188249
11,1984-08-12T02:29:57Z,497621.613635238,6765263.50781043
11,1984-08-12T02:45:04Z,497621.592615313,6765263.39560199
11,1984-08-12T03:02:03Z,497621.568985899,6765263.2694636
11,1984-08-12T03:15:01Z,497621.550973044,6765263.17330748
11,1984-08-12T03:30:00Z,497621.530184171,6765263.06233244
11,1984-08-12T03:59:57Z,497621.488754871,6765262.84117481
11,1984-08-12T04:15:04Z,497621.467950309,6765262.73011601
11,1984-08-12T04:30:02Z,497621.44743593,6765262.62060628
11,1984-08-12T05:00:00Z,497621.406691229,6765262.40310317
11,1984-08-12T05:14:58Z,497621.386461321,6765262.29511199
11,1984-08-12T05:29:57Z,497621.366326649,6765262.18762921
11,1984-08-12T06:01:03Z,497621.324813692,6765261.966025
11,1984-08-12T06:15:01Z,497621.306305751,6765261.86722602
11,1984-08-12T06:59:57Z,497621.247342596,6765261.55246925
11,1984-08-12T07:15:04Z,497621.227694651,6765261.44758472
11,1984-08-12T07:30:02Z,497621.208331193,6765261.34421882
11,1984-08-12T08:14:58Z,497621.150824263,6765261.03723568
11,1984-08-12T08:29:57Z,497621.131848685,6765260.93594036
11,1984-08-12T09:00:02Z,497621.093968425,6765260.73372819
11,1984-08-12T09:15:01Z,497621.075224001,6765260.63366682
11,1984-08-12T09:30:00Z,497621.056535463,6765260.53390378
11,1984-08-12T09:59:57Z,497621.019284305,6765260.33504986
11,1984-08-12T10:15:04Z,497621.000522211,6765260.23489417
11,1984-08-12T11:00:00Z,497620.944814823,6765259.93751732
11,1984-08-12T11:14:58Z,497620.926225083,6765259.83828169
11,1984-08-12T12:00:02Z,497620.870067824,6765259.53850335
11,1984-08-12T12:15:01Z,497620.851304063,6765259.43833876
11,1984-08-12T12:59:57Z,497620.794620353,6765259.13575012
11,1984-08-12T13:15:04Z,497620.775423947,6765259.03327598
11,1984-08-12T14:00:00Z,497620.718087383,6765258.72720228
11,1984-08-12T14:14:58Z,497620.698891376,6765258.62473027
11,1984-08-12T15:00:02Z,497620.640927323,6765258.31530691
11,1984-08-12T15:15:01Z,497620.621618672,6765258.21223359
11,1984-08-12T15:59:57Z,497620.563607065,6765257.90255638
11,1984-08-12T17:45:04Z,497620.427935515,6765257.17831533
11,1984-08-12T18:00:02Z,497620.408678062,6765257.07551531
11,1984-08-12T18:15:01Z,497620.389451437,6765256.97287986
11,1984-08-12T18:30:00Z,497620.370260001,6765256.87043225
11,1984-08-12T18:44:58Z,497620.351106797,6765256.76818873
11,1984-08-12T18:59:57Z,497620.331989609,6765256.66613748
11,1984-08-12T19:15:04Z,497620.312721549,6765256.56328084
