marker,t,x,y,z_G,z_Q
1,1984-08-08T04:05:16Z,496028.195564844,6774410.86441466,NA,369.38332098887
2,1984-08-08T03:59:31Z,496002.811515234,6773659.38176618,362.640248357954,363.34593368282
2,1984-08-08T15:23:31Z,496002.517946799,6773656.95780324,NA,363.197278287651
2,1984-08-08T18:17:45Z,496002.443189422,6773656.34053964,NA,363.159564757029
2,1984-08-09T01:12:28Z,496002.265435288,6773654.87284289,NA,363.070912044303
2,1984-08-10T19:22:33Z,496001.194934275,6773646.03383134,NA,362.569742270708
2,1984-08-11T00:23:31Z,496001.06898454,6773644.99387795,NA,362.510742995767
2,1984-08-11T17:47:31Z,496000.634898544,6773641.40967663,NA,362.2979956322
2,1984-08-12T02:34:33Z,496000.41786302,6773639.61763768,NA,362.183032988505
2,1984-08-12T18:40:48Z,496000.024886518,6773636.37287304,NA,361.959223570925
2,1984-08-12T23:27:21Z,495999.909454193,6773635.41976077,362.028813037875,361.891220524656
2,1984-08-13T16:45:36Z,495999.428138454,6773632.01670671,361.94911203066,361.638255717038
2,1984-08-14T02:23:02Z,495999.118027688,6773630.16007339,NA,361.498577479765
2,1984-08-15T05:11:31Z,495998.268750683,6773625.07545151,NA,361.144707773237
2,1984-08-15T16:55:40Z,495997.902054406,6773622.88004069,361.400980530493,361.008451058572
2,1984-08-16T01:45:36Z,495997.69182155,6773621.1884285,NA,360.918405224023
2,1984-08-16T20:14:24Z,495997.232981022,6773617.49642599,NA,360.727434797905
2,1984-08-17T02:28:48Z,495997.068577291,6773616.17357209,NA,360.65700482985
2,1984-08-17T16:28:19Z,495996.678909843,6773613.03816206,360.540129412879,360.490972681672
2,1984-08-21T00:50:52Z,495996.38106093,6773593.36054613,359.476585970438,359.826538968625
2,1984-08-21T16:45:36Z,495996.076601498,6773590.14883204,NA,359.649011470635
2,1984-08-21T22:08:09Z,495995.982559464,6773589.15679142,359.213894790569,359.5870958276
2,1984-08-22T16:36:57Z,495995.404723952,6773586.13905018,NA,359.333591526044
2,1984-08-24T00:32:09Z,495994.480074464,6773581.31007577,358.563576530503,358.878928128676
2,1984-08-26T17:08:38Z,495994.124613229,6773570.4353505,357.661393315524,358.330133582425
3,1984-08-08T03:49:26Z,496358.997350892,6772628.01643683,300.558877112824,302.105492587609
3,1984-08-08T15:20:38Z,496359.407175273,6772625.46441148,NA,301.650214292388
3,1984-08-08T18:13:26Z,496359.509507925,6772624.82717384,NA,301.53655735566
3,1984-08-09T01:09:36Z,496359.755453718,6772623.29564002,NA,301.264325912773
3,1984-08-10T19:18:14Z,496361.223216383,6772614.15570664,NA,299.663026331102
3,1984-08-11T00:26:24Z,496361.39932652,6772613.05904778,NA,299.471481203849
3,1984-08-11T17:44:38Z,496361.988319478,6772609.3913183,NA,298.826039923966
