marker,station,t_hat,theta_hat,K_theta,phi,K_phi,h
1,New Gilbert,20.837,391.3584,2,,,1670
1,New Quickie,20.837,150.6091,1,5.6554,1,1466
1,New Quickie,21.311,150.5693,0,5.6572,0,1466
1,New Quickie,21.432,150.5613,0,5.6589,0,1466
1,New Quickie,21.720,150.5360,0,5.6604,0,1466
1,New Quickie,21.874,150.5254,0,5.6611,0,1466
1,New Quickie,23.476,150.4031,0,5.6694,0,1466
1,New Quickie,23.681,150.3862,0,5.6702,0,1466
1,New Quickie,24.308,150.3374,0,5.6729,0,1466
1,New Quickie,24.410,150.3282,0,5.6737,0,1466
1,New Quickie,24.675,150.3060,0,5.6764,0,1466
1,New Quickie,24.776,150.2992,0,5.6764,0,1466
1,New Quickie,24.890,150.2900,0,5.6765,0,1466
1,New Quickie,25.264,150.2652,0,5.6789,0,1466
1,New Quickie,25.447,150.2497,0,5.6797,0,1466
1,New Quickie,25.609,150.2383,0,5.6828,0,1466
1,New Quickie,25.794,150.2253,0,5.6825,0,1466
1,New Quickie,25.907,150.2158,0,5.6828,0,1466
1,New Quickie,26.299,150.1857,0,5.6841,0,1466
1,New Quickie,26.451,150.1753,0,5.6855,0,1466
1,New Quickie,26.596,150.1646,0,5.6865,1,1466
1,New Quickie,26.767,150.1530,0,5.6898,0,1466
1,New Quickie,26.899,150.1426,0,5.6863,0,1466
1,New Quickie,27.302,150.1109,0,5.6895,0,1510
1,New Quickie,27.445,150.1020,0,5.6903,0,1510
1,New Quickie,27.651,150.0908,0,5.6934,0,1510
1,New Quickie,27.771,150.0820,2,5.6929,2,1510
1,New Quickie,27.887,150.0811,2,5.6921,2,1510
1,New Quickie,28.396,150.0320,0,5.6956,0,1553
1,New Quickie,28.480,150.0310,0,5.6976,0,1553
1,New Quickie,28.594,150.0215,0,5.6966,0,1553
1,New Quickie,28.742,150.0094,0,5.6982,0,1553
1,New Quickie,28.872,150.0244,1,5.6985,0,1553
1,New Quickie,29.326,149.9735,0,5.6996,0,1560
1,New Quickie,29.512,149.9534,0,5.7010,0,1560
1,New Quickie,29.634,149.9463,1,5.7016,0,1560
1,New Quickie,29.772,149.9409,0,5.7024,0,1560
1,New Quickie,29.877,149.9285,0,5.7028,0,1560
1,New Quickie,30.368,149.8892,0,5.7046,0,1560
1,New Quickie,30.528,149.8659,0,5.7066,0,1560
1,New Quickie,31.549,149.8068,0,5.7098,1,1560
