t_hat,r_hat,r
21.5729,818739,
21.5833,818639,
21.6049,818435,
21.7069,817399,
24.7292,787755,787733
24.7403,787640,787618
24.7500,787541,787518
24.7604,787440,787417
24.7708,787336,787312
24.7813,787212,787188
24.7931,787100,787076
24.8021,787015,786990
24.8125,786916,786891
24.8333,786690,786664
24.8438,786585,786559
24.8542,786474,786448
24.8750,786276,786250
24.8854,786158,786132
24.8958,786054,786028
24.9174,785842,785816
24.9271,785755,785729
24.9583,785451,785425
24.9688,785334,785307
24.9792,785237,785210
25.0104,784948,784921
25.0208,784855,784828
25.0417,784659,784632
25.0521,784574,784546
25.0625,784479,784451
25.0833,784286,784257
25.0938,784190,784161
25.1250,783887,783857
25.1354,783798,783769
25.1667,783499,783470
25.1771,783398,783369
25.2083,783125,783098
25.2188,783011,782985
25.2500,782722,782698
25.2604,782618,782594
25.2917,782336,782314
25.3021,782236,782215
25.3333,781929,781909
25.4063,781220,781203
25.4167,781119,781102
25.4271,781022,781006
25.4375,780922,780906
25.4479,780822,780807
25.4583,780723,780708
25.4688,780622,780607
25.4792,780532,780517
25.4896,780426,780411
25.5000,780324,780309
25.5104,780228,780214
25.5215,780131,780117
25.5313,780043,780029
25.5521,779850,779837
25.5625,779742,779729
25.5840,779557,779545
25.5944,779444,779433
25.6042,779351,779341
25.6146,779249,779239
25.6250,779145,779136
25.6354,779038,779029
25.6458,778953,778944
25.6563,778858,778850
25.6667,778730,778722
25.6771,778655,778647
25.6875,778535,778527
25.6979,778452,778444
25.7188,778228,778220
25.7292,778137,778129
25.7396,778006,777998
25.7500,777915,777906
25.7604,777804,777795
25.7708,777680,777670
25.7813,777593,777583
25.8854,776536,776518
25.8958,776444,776425
25.9063,776343,776323
25.9167,776226,776205
25.9271,776127,776105
25.9375,776024,776002
25.9479,775920,775897
25.9583,775834,775811
25.9792,775619,775595
25.9903,775530,775505
26.0000,775429,775404
26.0313,775145,775119
26.0417,775046,775020
26.0521,774936,774910
26.0625,774846,774820
26.0729,774731,774704
26.0833,774644,774617
26.0938,774541,774514
26.1042,774440,774413
26.1146,774344,774317
26.1250,774260,774232
26.1354,774154,774126
26.1458,774078,774050
26.1563,773963,773934
26.1667,773855,773826
26.1778,773767,773738
26.1875,773689,773660
26.1979,773575,773546
26.2083,773464,773435
26.2188,773371,773342
26.2292,773260,773231
26.2396,773179,773150
26.2500,773059,773030
26.2708,772882,772854
26.3028,772575,772548
26.3229,772365,772340
26.3333,772268,772243
26.3438,772171,772147
26.3542,772074,772051
26.3646,771970,771948
26.3750,771864,771843
26.3958,771663,771643
26.4063,771556,771536
26.4167,771460,771441
26.4271,771377,771358
26.4375,771269,771250
26.4479,771163,771145
26.4688,770964,770946
26.4792,770869,770851
26.4896,770759,770741
26.5000,770673,770656
26.5313,770370,770354
26.5417,770265,770249
26.5625,770074,770058
26.5729,769989,769974
26.5833,769880,769865
26.5938,769788,769773
26.6042,769692,769678
26.6153,769595,769581
26.6250,769498,769485
26.6354,769401,769388
26.6458,769290,769278
26.6667,769090,769079
26.6771,768997,768986
26.6986,768786,768775
