marker,sequence,t,value
1,2,1985-08-06T14:43:20Z,9.28946395563771
1,1,1985-08-06T14:45:22Z,9.2184842883549
1,4,1985-08-06T14:51:20Z,9.51127541589649
1,3,1985-08-06T15:07:43Z,9.44029574861368
1,6,1985-08-06T15:27:08Z,9.6354898336414
1,5,1985-08-06T15:28:58Z,9.57116451016636
1,7,1985-08-06T15:44:21Z,9.78410351201479
1,7,1985-08-06T15:45:41Z,9.73752310536044
1,7,1985-08-06T16:46:45Z,9.8550831792976
1,7,1985-08-06T19:17:37Z,9.83733826247689
1,8,1985-08-06T22:41:44Z,9.83512014787431
1,8,1985-08-07T01:12:31Z,9.81959334565619
1,8,1985-08-07T02:05:01Z,9.86173752310536
1,8,1985-08-07T02:46:23Z,9.91719038817006
1,8,1985-08-07T02:55:51Z,9.96155268022181
1,8,1985-08-07T03:26:56Z,10.0014787430684
1,9,1985-08-07T05:08:17Z,10.2121996303142
1,9,1985-08-07T05:39:10Z,10.2587800369686
1,9,1985-08-07T06:42:16Z,10.3053604436229
1,9,1985-08-07T07:24:17Z,10.3386321626617
1,9,1985-08-07T08:28:24Z,10.3497227356747
1,9,1985-08-07T08:50:27Z,10.3297597042514
1,9,1985-08-07T09:13:16Z,10.283179297597
1,9,1985-08-07T09:25:50Z,10.218853974122
1,9,1985-08-07T09:38:21Z,10.1567467652495
1,9,1985-08-07T09:50:26Z,10.1101663585952
1,10,1985-08-07T10:35:33Z,10.0347504621072
1,11,1985-08-07T11:09:25Z,9.97707948243993
1,12,1985-08-07T14:21:27Z,9.64658040665434
1,12,1985-08-07T15:15:36Z,9.63105360443623
1,12,1985-08-07T15:47:03Z,9.65767097966728
1,12,1985-08-07T16:49:27Z,9.72865064695009
1,12,1985-08-07T17:31:01Z,9.77744916820702
1,12,1985-08-07T17:53:54Z,9.85140927171904
1,13,1985-08-07T18:07:11Z,9.88540888724584
1,13,1985-08-07T18:41:17Z,9.94604326802218
1,13,1985-08-07T18:47:47Z,9.96822441404806
1,13,1985-08-07T18:54:29Z,9.98596933086876
1,14,1985-08-07T19:56:05Z,10.0850392014787
1,14,1985-08-07T20:53:11Z,10.0894754306839
1,14,1985-08-07T21:22:35Z,10.0643482735675
1,14,1985-08-07T21:45:38Z,10.0096233049908
1,14,1985-08-07T21:47:10Z,9.95638855452865
1,15,1985-08-07T22:10:25Z,9.89428134565619
1,15,1985-08-07T22:11:18Z,9.86322774121996
1,15,1985-08-07T22:41:01Z,9.82479189648798
1,16,1985-08-07T23:10:51Z,9.78190278743068
1,16,1985-08-07T23:11:57Z,9.74344955268022
1,16,1985-08-07T23:34:22Z,9.71092312014787
1,17,1985-08-08T00:04:12Z,9.67099705730129
1,17,1985-08-08T00:19:16Z,9.64290649907579
1,17,1985-08-08T00:34:28Z,9.61332607763401
1,17,1985-08-08T01:04:13Z,9.57340001478743
1,17,1985-08-08T02:16:15Z,9.5600913271719
1,17,1985-08-08T03:04:57Z,9.60888984842884
1,18,1985-08-08T03:32:07Z,9.65916119778188
1,18,1985-08-08T03:38:22Z,9.69317820332717
1,19,1985-08-08T17:30:50Z,10.6306435785582
1,19,1985-08-08T17:51:20Z,10.6646602292052
1,20,1985-08-08T19:08:23Z,10.725277219963
1,20,1985-08-08T20:04:56Z,10.7489485841035
1,20,1985-08-08T21:01:20Z,10.7800021885397
1,20,1985-08-08T21:58:23Z,10.7888746469501
1,20,1985-08-08T22:49:09Z,10.7652032828096
1,20,1985-08-09T00:02:18Z,10.7104957042514
1,20,1985-08-09T01:01:43Z,10.6365526358595
1,20,1985-08-09T01:39:32Z,10.5670631866913
1,20,1985-08-09T02:32:17Z,10.4739023733826
1,20,1985-08-09T03:02:23Z,10.422140805915
1,20,1985-08-09T03:46:42Z,10.3748151127542
1,20,1985-08-09T04:30:35Z,10.3422886802218
1,20,1985-08-09T06:03:38Z,10.3452517264325
1,20,1985-08-09T07:14:29Z,10.370378883549
1,20,1985-08-09T08:10:59Z,10.3984864768946
1,20,1985-08-09T08:59:58Z,10.4369223216266
1,20,1985-08-09T09:20:51Z,10.4576306395564
1,20,1985-08-09T10:10:46Z,10.4635396968577
1,20,1985-08-09T10:32:43Z,10.4472849981516
1,20,1985-08-09T11:02:43Z,10.4014324879852
1,20,1985-08-09T11:39:52Z,10.3526339667283
1,20,1985-08-09T12:02:57Z,10.2964532051756
1,21,1985-08-09T12:40:03Z,10.2520909131238
1,21,1985-08-09T13:10:16Z,10.195893116451
1,22,1985-08-09T13:48:20Z,10.117513818854
1,22,1985-08-09T14:18:33Z,10.0613330573013
1,22,1985-08-09T14:57:08Z,9.96520919778188
1,22,1985-08-09T15:27:14Z,9.9134472754159
1,22,1985-08-09T16:25:56Z,9.86464875415896
1,22,1985-08-09T17:09:36Z,9.83952159704251
1,22,1985-08-09T17:58:51Z,9.86908498336414
1,22,1985-08-09T18:33:27Z,9.91197444731978
1,22,1985-08-09T19:36:44Z,9.95190051016636
1,22,1985-08-09T19:57:25Z,9.97999071349353
1,22,1985-08-09T20:46:55Z,10.0006990314233
1,22,1985-08-09T21:29:32Z,10.0125345360444
1,22,1985-08-09T23:02:47Z,10.0080983068392
1,22,1985-08-10T00:08:17Z,9.97111825508318
1,22,1985-08-10T01:20:47Z,9.93859182255083
1,22,1985-08-10T02:11:31Z,9.91641067652495
1,22,1985-08-10T03:52:17Z,9.89866575970425
1,23,1985-08-10T05:08:36Z,9.98442694269871
1,23,1985-08-10T05:29:07Z,10.018443948244
1,23,1985-08-10T06:10:30Z,10.0731515268022
1,24,1985-08-10T06:22:39Z,10.1470945951941
1,25,1985-08-10T06:28:51Z,10.1825844288355
1,25,1985-08-10T07:02:44Z,10.2476546839187
1,25,1985-08-10T07:15:43Z,10.294962987061
1,25,1985-08-10T07:43:11Z,10.3348890499076
1,26,1985-08-10T07:56:23Z,10.3748151127542
1,27,1985-08-10T08:09:18Z,10.4251038521257
1,27,1985-08-10T08:36:46Z,10.4650299149723
1,27,1985-08-10T08:50:23Z,10.4901570720887
1,27,1985-08-10T09:18:29Z,10.5079019889094
1,28,1985-08-10T16:46:55Z,10.599589974122
1,29,1985-08-10T17:46:54Z,10.5123382181146
1,29,1985-08-10T18:30:14Z,10.4990295304991
1,29,1985-08-10T19:35:05Z,10.4842480147874
1,29,1985-08-10T20:31:43Z,10.5049559778189
1,29,1985-08-10T20:52:18Z,10.5360095822551
1,29,1985-08-10T21:20:09Z,10.5655729685767
1,29,1985-08-10T21:54:35Z,10.6114254787431
1,29,1985-08-10T22:29:16Z,10.6513515415896
1,30,1985-08-11T01:18:18Z,10.7489485841035
1,30,1985-08-11T02:24:41Z,10.6809149279113
1,30,1985-08-11T03:01:47Z,10.6365526358595
1,30,1985-08-11T04:16:09Z,10.5389555933457
1,30,1985-08-11T04:46:32Z,10.4768483844732
1,30,1985-08-11T05:38:24Z,10.4177045767098
1,30,1985-08-11T06:37:01Z,10.3689060554529
1,30,1985-08-11T07:49:01Z,10.3570701959335
1,30,1985-08-11T08:31:28Z,10.3748151127542
1,30,1985-08-11T08:59:24Z,10.3984864768946
1,30,1985-08-11T10:09:39Z,10.4443219519409
1,30,1985-08-11T11:13:19Z,10.4709393271719
1,30,1985-08-11T11:41:28Z,10.4901570720887
1,31,1985-08-11T13:42:04Z,10.5271371238447
1,31,1985-08-11T14:48:07Z,10.4709393271719
1,31,1985-08-11T15:18:55Z,10.39699625878
1,31,1985-08-11T15:41:38Z,10.3541241848429
1,31,1985-08-11T15:57:53Z,10.2846177005545
1,31,1985-08-11T16:28:52Z,10.2047655748614
1,31,1985-08-11T17:06:56Z,10.1234402661738
1,31,1985-08-11T17:51:38Z,10.0628062402957
1,31,1985-08-11T18:21:13Z,10.0317526358595
1,31,1985-08-11T19:11:59Z,10.0080983068392
1,31,1985-08-11T20:23:02Z,10.0258432236599
1,31,1985-08-11T21:05:04Z,10.0583700110906
1,31,1985-08-11T21:54:06Z,10.0982960739372
1,31,1985-08-11T22:57:28Z,10.1352587356747
1,31,1985-08-12T00:08:50Z,10.1426583659889
1,32,1985-08-12T02:25:59Z,10.1027323031423
1,32,1985-08-12T02:41:31Z,10.0613330573013
1,32,1985-08-12T02:57:13Z,10.0140077190388
1,33,1985-08-12T05:29:28Z,9.94746428096118
1,34,1985-08-12T16:36:53Z,9.90164619593346
1,35,1985-08-12T18:18:27Z,9.85284767467653
1,36,1985-08-12T21:29:29Z,9.93269980036969
1,36,1985-08-12T22:25:05Z,9.99184396303142
1,36,1985-08-12T23:13:29Z,10.0509877707948
1,36,1985-08-12T23:54:45Z,10.1101489685767
1,36,1985-08-13T00:36:54Z,10.1382395268022
1,37,1985-08-13T03:29:22Z,10.1160583807763
1,37,1985-08-13T03:51:46Z,10.0835315933457
1,37,1985-08-13T03:59:35Z,10.0628236303142
1,38,1985-08-13T04:58:20Z,10.0095888798521
1,38,1985-08-13T06:16:36Z,10.0273337966728
1,38,1985-08-13T06:37:19Z,10.0539511719039
1,39,1985-08-13T07:12:10Z,10.0879678225508
1,39,1985-08-13T07:46:23Z,10.1412025730129
1,39,1985-08-13T07:52:35Z,10.1766924066543
1,40,1985-08-13T08:13:03Z,10.2121822402957
1,40,1985-08-13T08:25:27Z,10.2772354602588
1,40,1985-08-13T08:26:15Z,10.2491452569316
1,41,1985-08-13T08:59:58Z,10.3230879704251
1,42,1985-08-13T16:01:04Z,10.6188251090573
1,43,1985-08-13T18:14:31Z,10.4620320887246
1,44,1985-08-13T18:30:06Z,10.4161969685767
1,45,1985-08-13T19:30:32Z,10.3067640665434
1,45,1985-08-13T20:28:05Z,10.2978916081331
1,45,1985-08-13T21:18:01Z,10.3038006654344
1,45,1985-08-13T21:53:20Z,10.3215455822551
1,45,1985-08-13T22:00:15Z,10.3289452125693
1,46,1985-08-13T22:48:44Z,10.3851433641405
1,46,1985-08-13T23:22:57Z,10.4413237707948
1,46,1985-08-13T23:43:22Z,10.4783041774492
1,46,1985-08-13T23:56:52Z,10.5078672088725
1,47,1985-08-14T00:38:33Z,10.5522295009242
1,47,1985-08-14T01:19:41Z,10.6158272828096
1,47,1985-08-14T02:08:13Z,10.6705348613678
1,47,1985-08-14T02:56:44Z,10.7252424399261
1,47,1985-08-14T03:41:36Z,10.6586990018484
1,47,1985-08-14T04:27:11Z,10.5670287615527
1,47,1985-08-14T05:05:00Z,10.497521922366
1,47,1985-08-14T05:28:41Z,10.4206331977819
1,47,1985-08-14T05:51:49Z,10.3629622181146
1,48,1985-08-14T05:59:55Z,10.3259992014787
1,48,1985-08-14T06:07:46Z,10.3038180554529
1,48,1985-08-14T06:08:32Z,10.2772006802218
1,49,1985-08-14T06:16:28Z,10.2491104768946
1,49,1985-08-14T06:25:00Z,10.2003119556377
1,49,1985-08-14T06:48:07Z,10.1426409759704
