t,value,sequence
1986-03-25T23:19:00Z,0.987708344212535,1
1986-03-26T00:01:02Z,0.987839632987232,1
1986-03-26T00:27:57Z,0.987923679811217,1
1986-03-26T01:41:55Z,0.988154707201545,1
1986-03-26T02:12:12Z,1.03007108035212,2
1986-03-26T03:01:00Z,1.03022348220861,2
1986-03-26T03:49:45Z,1.03037571917167,2
1986-03-26T04:11:37Z,0.96771127818846,3
1986-03-26T04:55:20Z,0.967847823359989,3
1986-03-26T05:47:30Z,0.988921646459175,3
1986-03-26T06:26:09Z,0.947220526460683,4
1986-03-26T11:05:20Z,1.01082517934748,5
1986-03-26T11:52:26Z,1.01097224067786,5
1986-03-26T12:34:30Z,1.01110361021665,5
1986-03-26T16:58:29Z,1.03283896532758,6
1986-03-26T17:28:48Z,0.866295444580146,6
1986-03-26T18:10:50Z,0.219500207722206,7
1986-03-26T20:13:38Z,-0.427049581835945,8
1986-03-26T21:19:13Z,-1.03064463738372,9
1986-03-26T23:11:54Z,-1.40538420764568,10
1986-03-27T00:17:29Z,-1.40517938988842,11
1986-03-27T01:31:29Z,-1.42585918513527,11
1986-03-27T02:20:15Z,-1.61456077746362,12
1986-03-27T03:20:50Z,-2.76055021650598,13
1986-03-27T04:16:21Z,-2.98974105471751,14
1986-03-27T05:15:11Z,-2.84318093369092,15
1986-03-27T10:12:53Z,-3.51074443632865,16
1986-03-27T14:16:44Z,-3.32178477260652,17
1986-03-27T17:23:26Z,-3.8635803912556,18
1986-03-27T18:15:33Z,-3.4046825667661,19
1986-03-27T20:11:34Z,-2.17384890831704,20
1986-03-27T20:41:51Z,-2.25674219968619,20
1986-03-27T21:22:12Z,-2.4232476453609,20
1986-03-28T00:13:46Z,-2.98600149180862,21
1986-03-28T00:52:28Z,-2.98588063842868,21
1986-03-28T01:42:55Z,-2.96481215585561,21
1986-03-28T02:28:18Z,-3.63251455557491,22
1986-03-28T03:25:30Z,-3.79962318643891,23
1986-03-28T04:22:41Z,-3.54851371562575,24
1986-03-28T05:13:09Z,-3.21443072960602,25
1986-03-28T06:03:34Z,-3.27635687532126,25
1986-03-28T06:27:07Z,-3.27628334465612,25
1986-03-28T08:13:06Z,-3.00541540569725,26
1986-03-28T09:00:10Z,-3.02617933189742,26
1986-03-28T09:35:28Z,-2.9842472652727,26
1986-03-28T10:20:54Z,-2.88020662013923,27
1986-03-28T11:16:25Z,-2.88003326841175,28
1986-03-28T11:53:22Z,-2.83744026017087,28
1986-03-28T12:30:22Z,-2.83732474731698,28
1986-03-28T13:27:35Z,-2.8796236312146,29
1986-03-28T18:16:49Z,-2.10697742667168,30
1986-03-28T19:25:46Z,-2.64913409296884,31
1986-03-28T21:13:24Z,0.855080274734632,32
1986-03-29T02:21:12Z,-3.02292819493033,33
1986-03-29T03:21:47Z,-3.91994729866303,34
1986-03-29T06:13:20Z,-4.89895872277384,35
1986-03-29T07:08:49Z,-5.2542708399186,36
1986-03-29T08:12:45Z,-5.69189536407777,37
1986-03-29T09:21:42Z,-5.98312116768619,38
1986-03-29T10:18:52Z,-6.23322442683843,39
1986-03-29T18:16:31Z,-5.43972797980803,40
1986-03-29T20:19:15Z,-3.97884672407594,41
1986-03-29T21:16:26Z,-4.27142078544301,42
1986-03-29T22:11:57Z,-4.52087345424462,43
1986-03-30T03:18:04Z,-6.37576204961397,44
1986-03-30T04:10:12Z,-6.79251247524519,45
1986-03-30T08:19:07Z,-8.35678092590115,46
1986-03-30T09:19:39Z,-8.52323004855913,47
1986-03-30T10:20:15Z,-8.83670441472202,48
1986-03-30T12:12:54Z,-9.35650887105066,49
1986-03-30T13:25:13Z,-9.54382540074693,50
1986-03-30T15:14:34Z,-11.0039818626208,51
1986-03-30T17:15:32Z,-5.518415830501,52
1986-03-30T18:12:45Z,-5.53914135184169,52
1986-03-30T20:15:32Z,-4.49582895839961,53
1986-03-30T21:12:40Z,-3.76572944032921,54
1986-03-31T00:07:34Z,-4.87019578046687,55
1986-03-31T01:16:33Z,-5.05752274387538,56
1986-03-31T08:17:09Z,-13.8577400544088,57
1986-03-31T14:15:21Z,-15.0243666353497,58
1986-03-31T16:13:02Z,-12.104314694444,59
1986-03-31T18:22:31Z,-9.26786956731797,60
1986-03-31T21:20:44Z,-4.90804149659857,61
1986-03-31T23:20:09Z,-5.36705272937206,62
1986-04-01T00:19:00Z,-5.59623982536101,63
1986-04-01T01:12:50Z,-6.38806975077279,64
1986-04-01T02:21:48Z,-7.45234996967258,65
1986-04-01T03:20:42Z,-9.51580811972252,66
1986-04-01T05:25:13Z,-12.8324109148866,67
1986-04-01T11:26:48Z,-14.4786729561201,68
1986-04-01T12:25:38Z,-13.8942886671273,69
1986-04-01T13:29:35Z,-15.1663887881799,70
1986-04-01T14:33:29Z,-15.2909988930217,71
1986-04-02T01:29:14Z,-5.67516694845733,72
1986-04-02T02:09:39Z,-5.67504075455122,72
1986-04-02T02:39:57Z,-5.61220670238055,72
1986-04-02T07:40:58Z,-5.94453629623473,73
1986-04-02T08:33:06Z,-5.46473417570428,74
1986-04-02T09:45:20Z,-5.52723459504875,75
1986-04-02T10:37:28Z,-5.33952937970884,76
1986-04-02T12:38:36Z,-6.08998310265298,77
1986-04-02T16:32:21Z,-4.60784423669952,78
