id,t,x,y,z
1,153.9666667,496116.272395643,6776194.8022609,-48.973651
1,153.9701389,496116.264542975,6776194.75567469,-48.9734005
1,153.9802951,496116.243236023,6776194.63186411,-48.962023
1,153.9907118,496116.225562212,6776194.50948453,-49.0155554
1,154.0011285,496116.21142651,6776194.40222741,-48.9705117
1,154.0115451,496116.193040485,6776194.2831444,-48.9747082
1,154.0219618,496116.169415474,6776194.13527595,-48.9839508
1,154.0323785,496116.16428943,6776194.05810379,-48.9909009
1,154.0427951,496116.136635167,6776193.90905375,-48.9899146
1,154.0532118,496116.118090186,6776193.78159526,-49.0043841
1,154.0636285,496116.112774519,6776193.69054869,-49.0162857
1,154.0740451,496116.086240486,6776193.53848562,-49.0255951
1,154.0842882,496116.061601201,6776193.4075979,-48.9805795
1,154.1052951,496116.015320615,6776193.13127366,-48.9655363000001
1,154.1157118,496116.002147653,6776193.02394209,-48.9489115
1,154.1261285,496115.985618866,6776192.89289937,-48.984109
1,154.1365451,496115.970905285,6776192.77784825,-48.9779186
1,154.1573785,496115.928464333,6776192.50588831,-48.9756920999999
1,154.1677951,496115.914956042,6776192.37945281,-49.0290685
1,154.1782118,496115.903467491,6776192.27698625,-49.02283
1,154.1886285,496115.881797186,6776192.13965687,-48.9932309
1,154.1990451,496115.86994796,6776192.02917355,-49.0129003
1,154.2094618,496115.848535436,6776191.88647022,-49.0143663
1,154.3237269,496115.675262974,6776190.54877238,-49.0595456
1,154.3271991,496115.668783909,6776190.50738529,-49.0696066
1,154.334375,496115.661043522,6776190.4337565,-49.0688709
1,154.3439236,496115.652130313,6776190.33865077,-49.0392552
1,154.3880787,496115.582799233,6776189.83603452,-49.0324391
1,154.3965278,496115.560296511,6776189.70194515,-49.0548495
1,154.4069444,496115.554515719,6776189.62484433,-49.0409822
1,154.4173611,496115.523399012,6776189.45274952,-49.0918306999999
1,154.4278935,496115.511661295,6776189.35303286,-49.0882748
1,154.4381944,496115.487515312,6776189.21412033,-49.0975959
1,154.4592593,496115.457580806,6776188.97637388,-49.1319149
1,154.4694444,496115.45763274,6776188.91372529,-49.0946292
1,154.4811343,496115.438765984,6776188.78101792,-49.1038112
1,154.5006944,496115.389510825,6776188.50621632,-49.0890719
1,154.51111,496115.390399375,6776188.45408381,-49.072663
1,154.5215278,496115.368358703,6776188.31441575,-49.1391028
1,154.5320602,496115.349362795,6776188.19284991,-49.1330273
1,154.5527778,496115.316222047,6776187.95615993,-49.0998188
1,154.5631944,496115.311219724,6776187.87611331,-49.1196314
1,154.7576389,496114.944768586,6776185.44058936,-49.0849733
1,154.76111,496114.953670574,6776185.44588256,-49.1132552
1,154.7715278,496114.94707752,6776185.34746051,-49.1121268000001
1,154.7819444,496114.926204199,6776185.21851334,-49.0773578
1,154.7923611,496114.913684873,6776185.10297038,-49.1022215
1,154.8027778,496114.898663794,6776184.98023132,-49.1348464
1,154.8131944,496114.870301861,6776184.82372575,-49.1313151000001
1,154.82361,496114.869372309,6776184.74528558,-49.1432156
1,154.8342593,496114.843876117,6776184.59597181,-49.1603129
1,154.8550926,496114.821696321,6776184.39951088,-49.0857707
1,154.8653935,496114.791334584,6776184.23831044,-49.0926353999999
1,154.8756944,496114.778103943,6776184.12324002,-49.1408942
1,154.88611,496114.753191171,6776183.97376317,-49.1475019
1,154.8965278,496114.732147698,6776183.84756963,-49.1414754
1,154.9070602,496114.734258784,6776183.78440067,-49.1768182
1,154.9173611,496114.71358115,6776183.66347385,-49.1422648
1,154.9277778,496114.689837662,6776183.5109988,-49.1592434
1,154.9381944,496114.671858853,6776183.39477136,-49.14809
1,154.94861,496114.659638835,6776183.28742238,-49.1522257
1,154.9590278,496114.6490963,6776183.17405436,-49.1770331
1,154.9694444,496114.622827788,6776183.04422448,-49.139895
1,154.9798611,496114.616473038,6776182.95119961,-49.1570573
1,154.9902778,496114.60035082,6776182.84240358,-49.1328552
1,155.0006944,496114.595963526,6776182.75705172,-49.1604092
1,155.01111,496114.569305226,6776182.59736504,-49.1955359
1,155.0215278,496114.554549037,6776182.48549911,-49.1868305
1,155.0319444,496114.536472351,6776182.35840195,-49.2117721
1,155.0423611,496114.52291325,6776182.25690379,-49.1901807
1,155.0527778,496114.498567418,6776182.11300095,-49.1762105
1,155.0631944,496114.492108265,6776182.0282515,-49.1882653
1,155.07361,496114.461785771,6776181.86432291,-49.1846404
1,155.0840278,496114.449396943,6776181.75982355,-49.1628656
1,155.0944444,496114.435732481,6776181.64480368,-49.185172
1,155.1048611,496114.417865464,6776181.52040979,-49.2050075
1,155.1152778,496114.413287215,6776181.43507062,-49.1936245000001
1,155.1256944,496114.388512454,6776181.28587627,-49.1821257
1,155.13611,496114.361599056,6776181.13455056,-49.1837657
1,155.1465278,496114.350314484,6776181.03235727,-49.1569383999999
1,155.1569444,496114.331314469,6776180.88951231,-49.210179
1,155.1673611,496114.322546461,6776180.78915003,-49.2117489
1,155.1777778,496114.303146012,6776180.65708857,-49.2055849
1,155.1881944,496114.282335373,6776180.51211507,-49.2562584
1,155.19861,496114.274008911,6776180.41162521,-49.2344643
1,155.2090278,496114.249187834,6776180.25703,-49.233262
1,155.2194444,496114.2363442,6776180.14727323,-49.2556072
1,155.2298611,496114.218905754,6776180.00933772,-49.2622544
1,155.2402778,496114.199032626,6776179.87736695,-49.2327753
