Output order: Pnt Id	month	day	hour	min		 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	20	9	2	171.3763889	359.98944	87.23639	131.869	4999.976	5131.716	1007.98
444	6	20	9	3	171.3770833	287.68306	92.79028	1045.672	4004.908	5317.25	950.79
CGR1	6	20	9	4	171.3777778	359.99111	87.23611	131.869	4999.98	5131.716	1007.98
444	6	20	9	4	171.3777778	287.68333	92.78917	1045.669	4004.912	5317.254	950.813
CGR1	6	20	9	5	171.3784722	179.9925	272.76694	131.869	4999.983	5131.715	1007.987
444	6	20	9	5	171.3784722	107.68694	267.215	1045.67	4004.928	5317.319	950.888
CGR1	6	20	9	10	171.3819444	359.99056	87.23306	131.869	4999.978	5131.716	1007.987
444	6	20	9	10	171.3819444	287.68167	92.78889	1045.661	4004.91	5317.224	950.818
CGR1	6	20	9	11	171.3826389	179.99139	272.77	131.869	4999.98	5131.715	1007.994
444	6	20	9	11	171.3826389	107.68361	267.21472	1045.661	4004.918	5317.258	950.883
CGR1	6	20	9	20	171.3888889	359.99111	87.23694	131.87	4999.98	5131.716	1007.978
444	6	20	9	20	171.3888889	287.67611	92.79	1045.647	4004.893	5317.121	950.795
CGR1	6	20	9	21	171.3895833	179.99194	272.76833	131.869	4999.982	5131.715	1007.99
444	6	20	9	21	171.3895833	107.67861	267.21556	1045.646	4004.904	5317.169	950.897
CGR1	6	20	9	30	171.3958333	359.99	87.2375	131.869	4999.977	5131.716	1007.976
444	6	20	9	30	171.3958333	287.67139	92.79	1045.63	4004.883	5317.036	950.798
CGR1	6	20	9	31	171.3965278	179.99056	272.77083	131.869	4999.978	5131.715	1007.996
444	6	20	9	31	171.3965278	107.67528	267.21556	1045.631	4004.899	5317.103	950.9
CGR1	6	20	9	40	171.4027778	359.99056	87.23889	131.869	4999.978	5131.716	1007.973
444	6	20	9	40	171.4027778	287.66778	92.79111	1045.617	4004.876	5316.968	950.776
CGR1	6	20	9	41	171.4034722	179.99083	272.77	131.869	4999.979	5131.715	1007.994
444	6	20	9	41	171.4034722	107.66917	267.21528	1045.616	4004.88	5316.994	950.895
CGR1	6	20	9	50	171.4097222	359.99056	87.23833	131.869	4999.978	5131.716	1007.975
444	6	20	9	50	171.4097222	287.66333	92.79167	1045.602	4004.867	5316.887	950.769
CGR1	6	20	9	51	171.4104167	179.99306	272.76833	131.869	4999.984	5131.715	1007.991
444	6	20	9	51	171.4104167	107.66417	267.21583	1045.601	4004.867	5316.904	950.908
CGR1	6	20	10	0	171.4166667	359.99222	87.23833	131.87	4999.982	5131.716	1007.975
444	6	20	10	0	171.4166667	287.66	92.79139	1045.586	4004.863	5316.823	950.773
CGR1	6	20	10	1	171.4173611	179.995	272.76611	131.869	4999.988	5131.715	1007.985
444	6	20	10	1	171.4173611	107.66278	267.21472	1045.584	4004.876	5316.874	950.887
CGR1	6	20	10	10	171.4236111	359.99306	87.23778	131.869	4999.984	5131.715	1007.976
CGR1	6	20	10	11	171.4243056	179.99444	272.77139	131.869	4999.987	5131.715	1007.997
444	6	20	10	11	171.4243056	107.6575	267.21556	1045.57	4004.859	5316.776	950.902
CGR1	6	20	10	20	171.4305556	359.9925	87.23778	131.869	4999.983	5131.716	1007.976
444	6	20	10	20	171.4305556	287.65028	92.79167	1045.553	4004.843	5316.647	950.773
CGR1	6	20	10	21	171.43125	179.99444	272.77083	131.869	4999.987	5131.714	1007.996
444	6	20	10	21	171.43125	107.65167	267.21722	1045.552	4004.842	5316.67	950.932
CGR1	6	20	10	30	171.4375	359.99278	87.2375	131.869	4999.983	5131.716	1007.977
444	6	20	10	30	171.4375	287.64778	92.78972	1045.535	4004.843	5316.596	950.805
