Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	23	8	45	174.3645833	359.98778	87.23861	131.869	4999.972	5131.716	1007.974
444	6	23	8	46	174.3652778	285.6675	92.93417	1038.914	4000.991	5280.198	948.511
CGR1	6	23	8	47	174.3659722	359.98972	87.23861	131.869	4999.976	5131.716	1007.974
444	6	23	8	47	174.3659722	285.66611	92.9325	1038.913	4000.983	5280.172	948.542
CGR1	6	23	8	47	174.3659722	179.98972	272.76889	131.869	4999.977	5131.715	1007.992
444	6	23	8	48	174.3666667	105.66944	267.07389	1038.911	4000.995	5280.233	948.658
CGR1	6	23	8	50	174.3680556	359.98861	87.24028	131.869	4999.974	5131.716	1007.971
CGR1	6	23	8	51	174.36875	179.98944	272.77056	131.869	4999.976	5131.715	1007.995
444	6	23	8	51	174.36875	105.66667	267.07111	1038.906	4000.989	5280.182	948.611
CGR1	6	23	9	0	174.375	359.98806	87.23833	131.869	4999.973	5131.715	1007.975
444	6	23	9	0	174.375	285.66083	92.9325	1038.887	4000.983	5280.077	948.545
CGR1	6	23	9	1	174.3756944	179.99083	272.76806	131.868	4999.979	5131.714	1007.99
444	6	23	9	1	174.3756944	105.66333	267.07	1038.889	4000.99	5280.12	948.589
CGR1	6	23	9	10	174.3819444	359.98917	87.23722	131.869	4999.975	5131.715	1007.978
444	6	23	9	10	174.3819444	285.65611	92.93444	1038.871	4000.977	5279.99	948.509
CGR1	6	23	9	11	174.3826389	179.98833	272.76861	131.869	4999.973	5131.715	1007.991
444	6	23	9	11	174.3826389	105.65694	267.07444	1038.871	4000.973	5280.003	948.67
CGR1	6	23	9	20	174.3888889	359.98944	87.23889	131.869	4999.976	5131.716	1007.973
444	6	23	9	20	174.3888889	285.65194	92.93472	1038.854	4000.973	5279.91	948.508
CGR1	6	23	9	21	174.3895833	179.99028	272.77028	131.869	4999.978	5131.714	1007.994
444	6	23	9	21	174.3895833	105.65389	267.07028	1038.855	4000.977	5279.948	948.599
CGR1	6	23	9	30	174.3958333	359.98778	87.23778	131.869	4999.972	5131.715	1007.976
444	6	23	9	30	174.3958333	285.645	92.93667	1038.838	4000.956	5279.784	948.47
CGR1	6	23	9	31	174.3965278	179.98778	272.76972	131.869	4999.972	5131.714	1007.993
444	6	23	9	31	174.3965278	105.64694	267.07	1038.84	4000.957	5279.819	948.595
CGR1	6	23	9	40	174.4027778	359.9875	87.23917	131.869	4999.971	5131.716	1007.973
444	6	23	9	40	174.4027778	285.64167	92.93639	1038.82	4000.956	5279.72	948.476
