marker	month	day	hour	min	dec date	Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	7	12	57	158.5395833	0.00556	87.23944	131.886	5000.013	5131.733	1007.973
111	6	7	12	57	158.5395833	285.59056	92.71194	1058.539	3981.544	5284.18	951.611
333	6	7	12	57	158.5395833	283.41222	92.51556	1268.47	3767.305	5293.949	946.057
CGR1	6	7	12	58	158.5402778	180.00694	272.77278	131.886	5000.016	5131.731	1008.001
111	6	7	12	58	158.5402778	105.59333	267.29972	1058.535	3981.55	5284.227	951.827
333	6	7	12	58	158.5402778	103.41361	267.49639	1268.468	3767.303	5293.981	946.32
CGR1	6	7	13	0	158.5416667	0.00417	87.23889	131.885	5000.009	5131.732	1007.974
111	6	7	13	0	158.5416667	285.58861	92.7125	1058.534	3981.539	5284.144	951.602
333	6	7	13	1	158.5423611	283.41	92.515	1268.467	3767.295	5293.897	946.071
CGR1	6	7	13	1	158.5423611	180.00583	272.77333	131.885	5000.013	5131.731	1008.002
111	6	7	13	1	158.5423611	105.59139	267.30083	1058.531	3981.544	5284.192	951.846
333	6	7	13	2	158.5430556	103.41278	267.49583	1268.466	3767.301	5293.96	946.311
CGR1	6	7	13	15	158.5520833	0.00361	87.23806	131.886	5000.008	5131.733	1007.976
111	6	7	13	15	158.5520833	285.58139	92.71028	1058.515	3981.518	5284.008	951.645
333	6	7	13	16	158.5527778	283.40556	92.51389	1268.447	3767.291	5293.8	946.095
CGR1	6	7	13	16	158.5527778	180.00667	272.77389	131.886	5000.015	5131.731	1008.004
111	6	7	13	16	158.5527778	105.58417	267.29889	1058.512	3981.528	5284.062	951.811
333	6	7	13	17	158.5534722	103.40722	267.49556	1268.447	3767.292	5293.839	946.303
CGR1	6	7	13	30	158.5625	0.00417	87.23611	131.886	5000.01	5131.732	1007.981
111	6	7	13	30	158.5625	285.57556	92.71083	1058.495	3981.509	5283.899	951.633
333	6	7	13	31	158.5631944	283.39972	92.51444	1268.429	3767.28	5293.671	946.083
CGR1	6	7	13	31	158.5631944	180.00639	272.77278	131.886	5000.015	5131.731	1008.001
111	6	7	13	31	158.5631944	105.57889	267.29833	1058.494	3981.519	5283.959	951.804
333	6	7	13	32	158.5638889	103.40306	267.49556	1268.429	3767.287	5293.744	946.302
CGR1	6	7	13	45	158.5729167	0.00444	87.23583	131.886	5000.01	5131.732	1007.981
111	6	7	13	45	158.5729167	285.56972	92.71083	1058.477	3981.498	5283.791	951.635
333	6	7	13	46	158.5736111	283.39556	92.51306	1268.412	3767.273	5293.573	946.115
CGR1	6	7	13	46	158.5736111	180.00611	272.77194	131.885	5000.014	5131.731	1007.999
111	6	7	13	46	158.5736111	105.5725	267.29722	1058.475	3981.506	5283.84	951.787
333	6	7	13	47	158.5743056	103.39722	267.49444	1268.41	3767.276	5293.613	946.279
CGR1	6	7	14	0	158.5833333	0.00417	87.23528	131.886	5000.009	5131.732	1007.983
111	6	7	14	0	158.5833333	285.56389	92.71028	1058.458	3981.487	5283.684	951.646
333	6	7	14	1	158.5840278	283.39	92.51028	1268.394	3767.259	5293.452	946.177
CGR1	6	7	14	1	158.5840278	180.00556	272.7725	131.886	5000.013	5131.731	1008
111	6	7	14	1	158.5840278	105.56611	267.2975	1058.456	3981.494	5283.725	951.793
333	6	7	14	2	158.5847222	103.39222	267.49611	1268.395	3767.265	5293.504	946.318
CGR1	6	7	14	15	158.59375	0.00472	87.23611	131.886	5000.011	5131.733	1007.981
111	6	7	14	15	158.59375	285.55667	92.70806	1058.443	3981.464	5283.551	951.688
333	6	7	14	16	158.5944444	283.38611	92.51278	1268.378	3767.259	5293.368	946.121
CGR1	6	7	14	16	158.5944444	180.00444	272.77333	131.886	5000.011	5131.731	1008.002
111	6	7	14	16	158.5944444	105.56028	267.29889	1058.439	3981.48	5283.617	951.819
333	6	7	14	17	158.5951389	103.38861	267.49556	1268.376	3767.265	5293.42	946.308
CGR1	6	7	14	30	158.6041667	0.00556	87.23611	131.886	5000.013	5131.733	1007.981
111	6	7	14	30	158.6041667	285.55028	92.70667	1058.423	3981.45	5283.43	951.713
333	6	7	14	31	158.6048611	283.37944	92.50972	1268.359	3767.24	5293.218	946.188
CGR1	6	7	14	31	158.6048611	180.00611	272.7725	131.887	5000.014	5131.732	1008.001
111	6	7	14	31	158.6048611	105.55389	267.2975	1058.419	3981.467	5283.494	951.793
333	6	7	14	32	158.6055556	103.38139	267.49778	1268.356	3767.245	5293.262	946.357
CGR1	6	7	14	45	158.6145833	0.00583	87.23944	131.886	5000.014	5131.733	1007.973
333	6	7	14	46	158.6152778	283.37444	92.51222	1268.341	3767.233	5293.107	946.133
CGR1	6	7	14	46	158.6152778	180.00556	272.77306	131.886	5000.013	5131.732	1008.002
111	6	7	14	46	158.6152778	105.54528	267.30139	1058.401	3981.44	5283.34	951.863
333	6	7	14	47	158.6159722	103.37667	267.49778	1268.339	3767.238	5293.156	946.358
CGR1	6	7	15	0	158.625	0.00528	87.23917	131.886	5000.012	5131.733	1007.974
111	6	7	15	0	158.625	285.53917	92.71028	1058.386	3981.434	5283.223	951.652
333	6	7	15	1	158.6256944	283.37083	92.51361	1268.324	3767.233	5293.023	946.106
CGR1	6	7	15	1	158.6256944	180.00417	272.77194	131.886	5000.01	5131.731	1007.999
111	6	7	15	1	158.6256944	105.54194	267.29944	1058.382	3981.444	5283.276	951.828
333	6	7	15	2	158.6263889	103.37167	267.49833	1268.321	3767.229	5293.045	946.372
CGR1	6	7	15	12	158.6333333	0.00222	87.23639	131.887	5000.005	5131.733	1007.98
111	6	7	15	12	158.6333333	285.53139	92.70639	1058.371	3981.406	5283.082	951.722
333	6	7	15	12	158.6333333	283.36472	92.50917	1268.307	3767.214	5292.891	946.202
CGR1	6	7	15	13	158.6340278	180.00333	272.77028	131.887	5000.007	5131.732	1007.996
111	6	7	15	13	158.6340278	105.535	267.30028	1058.368	3981.422	5283.149	951.845
333	6	7	15	14	158.6347222	103.36778	267.49639	1268.303	3767.228	5292.954	946.326
CGR1	6	7	15	15	158.6354167	0.00306	87.23667	131.886	5000.007	5131.733	1007.979
111	6	7	15	15	158.6354167	285.53111	92.70778	1058.365	3981.413	5283.077	951.698
333	6	7	15	16	158.6361111	283.36389	92.50944	1268.301	3767.217	5292.873	946.2
CGR1	6	7	15	16	158.6361111	180.00306	272.77	131.886	5000.007	5131.732	1007.995
111	6	7	15	16	158.6361111	105.53361	267.29778	1058.364	3981.421	5283.121	951.802
333	6	7	15	17	158.6368056	103.36639	267.49694	1268.3	3767.223	5292.925	946.338
CGR1	6	7	15	30	158.6458333	0.00417	87.23722	131.886	5000.01	5131.733	1007.978
111	6	7	15	30	158.6458333	285.52667	92.71083	1058.347	3981.41	5282.992	951.639
333	6	7	15	31	158.6465278	283.36028	92.51222	1268.284	3767.216	5292.788	946.135
CGR1	6	7	15	31	158.6465278	180.00667	272.77306	131.886	5000.015	5131.732	1008.002
111	6	7	15	31	158.6465278	105.52917	267.29917	1058.344	3981.416	5283.036	951.827
333	6	7	15	32	158.6472222	103.36222	267.49556	1268.283	3767.22	5292.83	946.308
CGR1	6	7	15	45	158.65625	0.005	87.23806	131.887	5000.012	5131.733	1007.976
111	6	7	15	45	158.65625	285.51917	92.71	1058.328	3981.391	5282.855	951.66
333	6	7	15	46	158.6569444	283.35472	92.51194	1268.264	3767.206	5292.662	946.144
CGR1	6	7	15	46	158.6569444	180.00639	272.77056	131.886	5000.015	5131.732	1007.996
111	6	7	15	46	158.6569444	105.52333	267.29972	1058.326	3981.405	5282.928	951.836
333	6	7	15	47	158.6576389	103.35806	267.49778	1268.263	3767.216	5292.735	946.358
CGR1	6	7	16	0	158.6666667	0.005	87.23972	131.886	5000.011	5131.733	1007.973
111	6	7	16	0	158.6666667	285.51333	92.71111	1058.307	3981.384	5282.745	951.636
333	6	7	16	1	158.6673611	283.34917	92.51361	1268.247	3767.197	5292.541	946.106
CGR1	6	7	16	1	158.6673611	180.00778	272.77167	131.886	5000.018	5131.731	1007.999
111	6	7	16	1	158.6673611	105.51528	267.3	1058.307	3981.383	5282.78	951.845
333	6	7	16	2	158.6680556	103.35306	267.49778	1268.243	3767.211	5292.627	946.358
CGR1	6	7	16	15	158.6770833	0.00528	87.23694	131.886	5000.012	5131.733	1007.979
111	6	7	16	15	158.6770833	285.50694	92.71167	1058.288	3981.37	5282.623	951.626
333	6	7	16	16	158.6777778	283.34472	92.51167	1268.231	3767.188	5292.442	946.15
CGR1	6	7	16	16	158.6777778	180.00694	272.77167	131.886	5000.016	5131.731	1007.999
111	6	7	16	16	158.6777778	105.50944	267.29917	1058.288	3981.374	5282.674	951.827
333	6	7	16	17	158.6784722	103.34778	267.49861	1268.229	3767.196	5292.509	946.38
CGR1	6	7	16	30	158.6875	0.005	87.23889	131.886	5000.011	5131.733	1007.975
111	6	7	16	30	158.6875	285.50111	92.71083	1058.271	3981.357	5282.515	951.645
333	6	7	16	31	158.6881944	283.33972	92.51167	1268.212	3767.182	5292.332	946.153
CGR1	6	7	16	31	158.6881944	180.00611	272.77167	131.886	5000.014	5131.732	1007.999
111	6	7	16	31	158.6881944	105.50389	267.29722	1058.268	3981.367	5282.568	951.796
333	6	7	16	32	158.6888889	103.34194	267.4975	1268.211	3767.185	5292.38	946.354
CGR1	6	7	16	45	158.6979167	0.00472	87.23583	131.886	5000.011	5131.733	1007.982
111	6	7	16	45	158.6979167	285.49556	92.7125	1058.251	3981.35	5282.412	951.617
333	6	7	16	46	158.6986111	283.33528	92.51222	1268.194	3767.178	5292.232	946.14
CGR1	6	7	16	46	158.6986111	180.00667	272.77222	131.886	5000.015	5131.732	1008
111	6	7	16	46	158.6986111	105.49694	267.29667	1058.247	3981.353	5282.437	951.785
333	6	7	16	47	158.6993056	103.33722	267.4975	1268.191	3767.18	5292.271	946.354
CGR1	6	7	17	0	158.7083333	0.00806	87.23639	131.887	5000.019	5131.733	1007.98
111	6	7	17	0	158.7083333	285.48611	92.71	1058.23	3981.322	5282.241	951.663
333	6	7	17	1	158.7090278	283.32833	92.50833	1268.175	3767.156	5292.075	946.229
CGR1	6	7	17	1	158.7090278	180.00417	272.77417	131.886	5000.01	5131.732	1008.004
111	6	7	17	1	158.7090278	105.48972	267.29917	1058.231	3981.331	5282.305	951.831
333	6	7	17	2	158.7097222	103.33083	267.49889	1268.172	3767.164	5292.129	946.388
CGR1	6	7	17	15	158.71875	0.00556	87.23722	131.886	5000.013	5131.733	1007.978
111	6	7	17	15	158.71875	285.48	92.71306	1058.214	3981.31	5282.123	951.608
CGR1	6	7	17	16	158.7194444	180.00222	272.77056	131.886	5000.005	5131.732	1007.996
111	6	7	17	16	158.7194444	105.48306	267.29583	1058.212	3981.32	5282.183	951.77
333	6	7	17	17	158.7201389	103.32639	267.49667	1268.154	3767.161	5292.029	946.338
CGR1	6	7	17	30	158.7291667	0.00361	87.23833	131.886	5000.009	5131.733	1007.976
111	6	7	17	30	158.7291667	285.47306	92.71417	1058.194	3981.295	5281.994	951.587
333	6	7	17	31	158.7298611	283.31694	92.51194	1268.137	3767.138	5291.822	946.15
CGR1	6	7	17	31	158.7298611	180.00444	272.76972	131.886	5000.01	5131.732	1007.994
111	6	7	17	31	158.7298611	105.47389	267.2975	1058.189	3981.295	5282.013	951.802
333	6	7	17	32	158.7305556	103.31972	267.49694	1268.133	3767.147	5291.879	946.347
