Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	17	8	37	168.3590278	359.98056	87.23139	131.87	4999.956	5131.716	1007.991
444	6	17	8	40	168.3611111	289.81556	92.68611	1052.527	4010.876	5356.411	952.37
CGR1	6	17	8	41	168.3618056	359.98167	87.23611	131.869	4999.958	5131.716	1007.98
444	6	17	8	41	168.3618056	289.81833	92.68528	1052.522	4010.897	5356.458	952.385
CGR1	6	17	8	42	168.3625	179.98583	272.77222	131.87	4999.968	5131.715	1007.999
CGR1	6	17	8	45	168.3645833	359.9875	87.23972	131.869	4999.972	5131.716	1007.972
444	6	17	8	45	168.3645833	289.81917	92.68333	1052.518	4010.904	5356.471	952.422
CGR1	6	17	8	46	168.3652778	179.98639	272.7725	131.869	4999.969	5131.715	1008
444	6	17	8	46	168.3652778	109.82194	267.32333	1052.518	4010.916	5356.521	952.543
CGR1	6	17	9	0	168.375	359.98694	87.2375	131.869	4999.97	5131.716	1007.977
444	6	17	9	0	168.375	289.81444	92.68667	1052.493	4010.901	5356.378	952.361
CGR1	6	17	9	1	168.3756944	179.98722	272.77194	131.87	4999.971	5131.715	1007.998
444	6	17	9	1	168.3756944	109.815	267.32083	1052.492	4010.9	5356.393	952.497
CGR1	6	17	9	7	168.3798611	359.98722	87.23139	131.87	4999.971	5131.716	1007.991
444	6	17	9	7	168.3798611	289.81	92.68389	1052.489	4010.874	5356.301	952.411
CGR1	6	17	9	8	168.3805556	179.9875	272.76944	131.87	4999.971	5131.716	1007.993
CGR1	6	17	9	15	168.3854167	359.9875	87.23611	131.87	4999.971	5131.716	1007.98
CGR1	6	17	9	16	168.3861111	179.9875	272.77083	131.87	4999.971	5131.716	1007.996
444	6	17	9	16	168.3861111	109.80722	267.32194	1052.471	4010.87	5356.25	952.518
CGR1	6	17	9	30	168.3958333	359.98667	87.23611	131.87	4999.969	5131.716	1007.98
444	6	17	9	30	168.3958333	289.79667	92.68472	1052.44	4010.838	5356.053	952.398
CGR1	6	17	9	31	168.3965278	179.98694	272.77333	131.869	4999.97	5131.715	1008.002
444	6	17	9	31	168.3965278	109.80083	267.31972	1052.446	4010.855	5356.129	952.479
CGR1	6	17	9	45	168.40625	359.98917	87.23528	131.869	4999.975	5131.716	1007.982
CGR1	6	17	9	46	168.4069444	179.98778	272.77194	131.87	4999.972	5131.715	1007.999
CGR1	6	17	10	0	168.4166667	359.9875	87.24056	131.869	4999.971	5131.716	1007.97
444	6	17	10	0	168.4166667	289.785	92.68806	1052.395	4010.81	5355.836	952.341
CGR1	6	17	10	1	168.4173611	179.98944	272.77083	131.869	4999.976	5131.715	1007.996
CGR1	6	17	10	15	168.4270833	359.98861	87.23694	131.869	4999.974	5131.716	1007.978
CGR1	6	17	10	16	168.4277778	179.99	272.77111	131.869	4999.977	5131.715	1007.996
