Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	18	8	47	169.3659722	0.01139	87.23722	131.87	5000.026	5131.716	1007.977
444	6	18	8	48	169.3666667	289.10028	92.72278	1050.153	4008.774	5343.248	951.809
CGR1	6	18	8	49	169.3673611	359.98528	87.23639	131.869	4999.966	5131.716	1007.98
444	6	18	8	49	169.3673611	289.09611	92.7225	1050.148	4008.753	5343.172	951.817
CGR1	6	18	8	49	169.3673611	179.98556	272.7725	131.87	4999.967	5131.715	1008
444	6	18	8	50	169.3680556	109.09861	267.28306	1050.15	4008.762	5343.221	951.916
CGR1	6	18	9	0	169.375	359.98639	87.23611	131.87	4999.969	5131.716	1007.98
444	6	18	9	0	169.375	289.09028	92.72417	1050.132	4008.735	5343.069	951.783
CGR1	6	18	9	1	169.3756944	179.98528	272.77222	131.87	4999.966	5131.715	1007.999
444	6	18	9	1	169.3756944	109.09306	267.28111	1050.133	4008.746	5343.117	951.88
CGR1	6	18	9	15	169.3854167	359.98472	87.235	131.871	4999.965	5131.717	1007.983
CGR1	6	18	9	16	169.3861111	179.985	272.77028	131.869	4999.965	5131.715	1007.995
444	6	18	9	16	169.3861111	109.08444	267.28222	1050.111	4008.715	5342.964	951.901
CGR1	6	18	9	30	169.3958333	359.98583	87.23778	131.87	4999.967	5131.717	1007.976
444	6	18	9	30	169.3958333	289.07639	92.72472	1050.09	4008.693	5342.816	951.779
CGR1	6	18	9	31	169.3965278	179.98417	272.77167	131.871	4999.964	5131.716	1007.998
444	6	18	9	31	169.3965278	109.07889	267.28389	1050.09	4008.699	5342.858	951.935
CGR1	6	18	9	45	169.40625	359.98361	87.23889	131.869	4999.962	5131.716	1007.973
444	6	18	9	45	169.40625	289.06472	92.72389	1050.064	4008.646	5342.604	951.791
CGR1	6	18	9	46	169.4069444	179.98333	272.77167	131.869	4999.962	5131.715	1007.998
444	6	18	9	46	169.4069444	109.06861	267.28583	1050.068	4008.657	5342.673	951.969
CGR1	6	18	10	0	169.4166667	359.98361	87.2375	131.87	4999.962	5131.716	1007.976
CGR1	6	18	10	1	169.4173611	179.985	272.7725	131.87	4999.966	5131.715	1008
444	6	18	10	1	169.4173611	109.06222	267.28444	1050.043	4008.643	5342.554	951.945
CGR1	6	18	10	15	169.4270833	359.98194	87.23639	131.869	4999.958	5131.715	1007.979
444	6	18	10	15	169.4270833	289.05278	92.72778	1050.024	4008.615	5342.383	951.722
CGR1	6	18	10	16	169.4277778	179.98528	272.77	131.869	4999.966	5131.715	1007.994
444	6	18	10	16	169.4277778	109.05583	267.28222	1050.025	4008.625	5342.441	951.906
CGR1	6	18	10	30	169.4375	359.98333	87.23611	131.869	4999.962	5131.715	1007.98
444	6	18	10	30	169.4375	289.04556	92.7225	1050.003	4008.588	5342.253	951.822
CGR1	6	18	10	31	169.4381944	179.98361	272.7725	131.869	4999.962	5131.715	1008
444	6	18	10	31	169.4381944	109.0475	267.27972	1050.003	4008.598	5342.287	951.863
CGR1	6	18	10	45	169.4479167	359.98417	87.23806	131.87	4999.963	5131.716	1007.975
444	6	18	10	45	169.4479167	289.03667	92.72556	1049.98	4008.56	5342.092	951.768
CGR1	6	18	10	46	169.4486111	179.98389	272.77111	131.87	4999.963	5131.715	1007.997
444	6	18	10	46	169.4486111	109.04111	267.28472	1049.979	4008.577	5342.169	951.955
CGR1	6	18	11	0	169.4583333	359.9825	87.23333	131.87	4999.96	5131.716	1007.986
444	6	18	11	0	169.4583333	289.03083	92.72167	1049.96	4008.539	5341.983	951.839
CGR1	6	18	11	1	169.4590278	179.98361	272.77	131.869	4999.962	5131.715	1007.994
444	6	18	11	1	169.4590278	109.03111	267.28556	1049.959	4008.537	5341.99	951.97
CGR1	6	18	11	15	169.46875	x	x	x	x	x	
444	6	18	11	15	169.46875	289.02361	92.72111	1049.941	4008.514	5341.853	951.85
CGR1	6	18	11	16	169.4694444	179.98389	272.76917	131.87	4999.963	5131.716	1007.992
444	6	18	11	16	169.4694444	109.02417	267.27944	1049.938	4008.519	5341.86	951.862
CGR1	6	18	11	30	169.4791667	359.98361	87.23778	131.87	4999.962	5131.716	1007.976
444	6	18	11	30	169.4791667	289.01639	92.72444	1049.915	4008.498	5341.72	951.792
CGR1	6	18	11	31	169.4798611	179.98278	272.77	131.87	4999.961	5131.716	1007.994
444	6	18	11	31	169.4798611	109.01833	267.28	1049.917	4008.504	5341.754	951.872
CGR1	6	18	11	45	169.4895833	359.98278	87.23722	131.869	4999.961	5131.716	1007.977
444	6	18	11	45	169.4895833	289.01194	92.72806	1049.893	4008.496	5341.635	951.723
CGR1	6	18	11	46	169.4902778	179.985	272.77	131.869	4999.965	5131.715	1007.994
444	6	18	11	46	169.4902778	109.01306	267.27889	1049.894	4008.496	5341.657	951.853
CGR1	6	18	12	0	169.5	359.9825	87.23611	131.87	4999.96	5131.716	1007.98
444	6	18	12	0	169.5	289.00111	92.72639	1049.873	4008.448	5341.439	951.754
CGR1	6	18	12	1	169.5006944	179.98306	272.77028	131.869	4999.961	5131.715	1007.994
CGR1	6	18	12	15	169.5104167	359.98167	87.23806	131.869	4999.958	5131.716	1007.976
CGR1	6	18	12	16	169.5111111	179.98444	272.76861	131.869	4999.965	5131.715	1007.991
CGR1	6	18	12	30	169.5208333	359.98528	87.23833	131.869	4999.966	5131.716	1007.975
CGR1	6	18	12	31	169.5215278	179.98556	272.76972	131.87	4999.967	5131.715	1007.994
