Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	19	7	58	170.3319444	359.98944	87.23667	131.869	4999.976	5131.715	1007.979
CGR1	6	19	8	12	170.3416667	359.99056	87.23694	131.869	4999.978	5131.716	1007.978
444	6	19	8	14	170.3430556	288.42111	92.74889	1048.05	4006.79	5330.803	951.429
CGR1	6	19	8	14	170.3430556	359.99167	87.2375	131.869	4999.981	5131.716	1007.976
CGR1	6	19	8	15	170.34375	179.99278	272.76861	131.869	4999.984	5131.715	1007.991
CGR1	6	19	8	16	170.3444444	359.99194	87.23444	131.869	4999.982	5131.715	1007.984
CGR1	6	19	8	17	170.3451389	179.9925	272.76889	131.869	4999.983	5131.715	1007.992
CGR1	6	19	8	30	170.3541667	359.99167	87.2375	131.869	4999.981	5131.716	1007.976
444	6	19	8	30	170.3541667	288.40861	92.74972	1048.025	4006.742	5330.58	951.415
CGR1	6	19	8	31	170.3548611	179.99306	272.76806	131.869	4999.984	5131.715	1007.99
444	6	19	8	31	170.3548611	108.41167	267.25639	1048.022	4006.757	5330.631	951.527
CGR1	6	19	8	45	170.3645833	359.99056	87.23861	131.869	4999.978	5131.716	1007.974
CGR1	6	19	8	46	170.3652778	179.99278	272.76972	131.869	4999.984	5131.715	1007.993
CGR1	6	19	9	0	170.375	359.99028	87.23833	131.869	4999.978	5131.715	1007.975
CGR1	6	19	9	1	170.3756944	179.99139	272.77	131.869	4999.98	5131.715	1007.994
CGR1	6	19	9	15	170.3854167	359.99278	87.23944	131.869	4999.983	5131.715	1007.973
CGR1	6	19	9	16	170.3861111	179.99306	272.77083	131.869	4999.984	5131.714	1007.996
CGR1	6	19	9	30	170.3958333	359.9925	87.23778	131.869	4999.983	5131.715	1007.976
CGR1	6	19	9	31	170.3965278	179.99389	272.76972	131.869	4999.986	5131.715	1007.993
CGR1	6	19	9	45	170.40625	359.99333	87.23806	131.869	4999.985	5131.715	1007.975
CGR1	6	19	9	46	170.4069444	179.99389	272.77083	131.869	4999.986	5131.714	1007.996
CGR1	6	19	10	0	170.4166667	359.99333	87.23833	131.869	4999.985	5131.716	1007.975
CGR1	6	19	10	1	170.4173611	179.99333	272.77028	131.868	4999.985	5131.714	1007.994
CGR1	6	19	10	15	170.4270833	359.99222	87.23694	131.869	4999.982	5131.715	1007.978
CGR1	6	19	10	16	170.4277778	179.99306	272.77111	131.869	4999.984	5131.714	1007.997
CGR1	6	19	10	30	170.4375	359.99111	87.23722	131.869	4999.979	5131.715	1007.978
CGR1	6	19	10	31	170.4381944	179.99389	272.76944	131.868	4999.986	5131.714	1007.993
CGR1	6	19	13	2	170.5430556	359.99444	87.23833	131.869	4999.987	5131.715	1007.975
CGR1	6	19	13	3	170.54375	179.99556	272.77167	131.869	4999.99	5131.715	1007.998
CGR1	6	19	13	15	170.5520833	359.99389	87.2375	131.868	4999.986	5131.715	1007.977
CGR1	6	19	13	16	170.5527778	179.99528	272.77	131.869	4999.989	5131.715	1007.994
CGR1	6	19	13	30	170.5625	359.995	87.23833	131.869	4999.988	5131.716	1007.975
444	6	19	13	30	170.5625	288.27194	92.75444	1047.608	4006.354	5328.075	951.35
CGR1	6	19	13	31	170.5631944	179.99694	272.77139	131.869	4999.993	5131.715	1007.997
444	6	19	13	31	170.5631944	108.27444	267.25083	1047.606	4006.367	5328.121	951.447
CGR1	6	19	13	45	170.5729167	359.99361	87.23972	131.868	4999.986	5131.715	1007.972
444	6	19	13	45	170.5729167	288.26444	92.75583	1047.581	4006.34	5327.939	951.327
CGR1	6	19	13	46	170.5736111	179.99583	272.77083	131.869	4999.99	5131.714	1007.996
444	6	19	13	46	170.5736111	108.26611	267.25194	1047.585	4006.339	5327.969	951.469
CGR1	6	19	14	0	170.5833333	359.99667	87.23861	131.868	4999.993	5131.715	1007.974
444	6	19	14	0	170.5833333	288.25889	92.75583	1047.56	4006.327	5327.837	951.33
CGR1	6	19	14	1	170.5840278	179.99667	272.76944	131.869	4999.993	5131.714	1007.993
444	6	19	14	1	170.5840278	108.26278	267.25028	1047.561	4006.344	5327.907	951.44
CGR1	6	19	14	15	170.59375	359.99556	87.23889	131.868	4999.99	5131.715	1007.973
444	6	19	14	15	170.59375	288.25333	92.75722	1047.536	4006.32	5327.734	951.306
CGR1	6	19	14	16	170.5944444	179.99778	272.76889	131.869	4999.995	5131.714	1007.992
444	6	19	14	16	170.5944444	108.25528	267.25056	1047.54	4006.32	5327.768	951.447
CGR1	6	19	14	30	170.6041667	359.99611	87.23694	131.869	4999.991	5131.716	1007.978
444	6	19	14	30	170.6041667	288.245	92.75556	1047.515	4006.29	5327.579	951.336
CGR1	6	19	14	31	170.6048611	179.99722	272.76944	131.869	4999.994	5131.715	1007.993
444	6	19	14	31	170.6048611	108.24722	267.25	1047.515	4006.299	5327.622	951.437
CGR1	6	19	14	45	170.6145833	359.99667	87.23694	131.869	4999.993	5131.715	1007.978
444	6	19	14	45	170.6145833	288.23889	92.7575	1047.493	4006.278	5327.465	951.3
CGR1	6	19	14	46	170.6152778	179.9975	272.77167	131.869	4999.994	5131.714	1007.998
444	6	19	14	46	170.6152778	108.24028	267.25056	1047.494	4006.278	5327.492	951.448
CGR1	6	19	15	0	170.625	359.99667	87.23889	131.869	4999.992	5131.715	1007.974
444	6	19	15	0	170.625	288.23056	92.75806	1047.472	4006.25	5327.316	951.291
CGR1	6	19	15	1	170.6256944	179.99667	272.77056	131.869	4999.992	5131.714	1007.996
444	6	19	15	1	170.6256944	108.2325	267.25111	1047.472	4006.254	5327.35	951.461
CGR1	6	19	15	15	170.6354167	359.995	87.23667	131.869	4999.989	5131.715	1007.978
444	6	19	15	15	170.6354167	288.22333	92.75722	1047.45	4006.23	5327.186	951.308
CGR1	6	19	15	16	170.6361111	179.99694	272.76889	131.869	4999.993	5131.714	1007.992
444	6	19	15	16	170.6361111	108.22556	267.24778	1047.448	4006.24	5327.223	951.399
CGR1	6	19	15	30	170.6458333	359.99639	87.23861	131.868	4999.991	5131.715	1007.974
444	6	19	15	30	170.6458333	288.21722	92.75889	1047.43	4006.215	5327.07	951.28
CGR1	6	19	15	31	170.6465278	179.9975	272.77	131.869	4999.995	5131.714	1007.994
444	6	19	15	31	170.6465278	108.22083	267.24833	1047.429	4006.229	5327.133	951.409
CGR1	6	19	15	45	170.65625	359.99611	87.23833	131.868	4999.991	5131.715	1007.975
444	6	19	15	45	170.65625	288.20889	92.75778	1047.406	4006.189	5326.92	951.298
CGR1	6	19	15	46	170.6569444	179.99722	272.77028	131.869	4999.994	5131.714	1007.995
444	6	19	15	46	170.6569444	108.21389	267.24861	1047.405	4006.213	5327.005	951.418
CGR1	6	19	16	0	170.6666667	359.99722	87.24028	131.868	4999.994	5131.715	1007.971
