---------Head Start---------												
Separator: Comma												
Linear Units: Meters												
Angular Units: Dec. degrees												
Output order: Pnt Id	 Time1	 Time2	 Hz	 V		 Sd	 HI	 East	 North	 Elev	 Sig.Strength	
Liscad coding												
List file = None												
Join codes: Yes.  String = _												
Allow partial blocks?  Yes												
---------Head End-----------												
CGR1	6	11	19	49	162.8256944	179.99194	272.76389	131.843	1.62	4999.982	5131.69	1007.979
CGR1	6	11	19	51	162.8270833	359.98611	87.24361	131.844	1.62	4999.968	5131.691	1007.961
111	6	11	19	52	162.8277778	293.3575	92.46389	1066.136	1.62	4022.133	5422.301	955.866
333	6	11	19	53	162.8284722	282.85444	92.8325	1050.044	1.62	3977.515	5233.326	949.805
444	6	11	19	58	162.8319444	293.35833	92.46722	1066.123	1.62	4022.154	5422.309	955.803
444	6	11	20	4	162.8361111	293.35417	92.46333	1066.112	1.62	4022.131	5422.234	955.875
444	6	11	20	8	162.8388889	293.34944	92.46167	1066.106	1.62	4022.1	5422.152	955.908
CGR1	6	11	20	9	162.8395833	179.98889	272.76389	131.843	1.62	4999.975	5131.69	1007.979
CGR1	6	11	20	13	162.8423611	359.98722	87.24139	131.843	1.62	4999.971	5131.69	1007.966
CGR1	6	11	20	15	162.84375	179.98861	272.76583	131.844	1.62	4999.974	5131.69	1007.983
444	6	11	20	16	162.8444444	113.34861	267.54083	1066.094	1.62	4022.103	5422.133	955.954
CGR1	6	11	20	17	162.8451389	359.98806	87.24306	131.843	1.62	4999.973	5131.691	1007.963
444	6	11	20	18	162.8458333	293.34528	92.46472	1066.089	1.62	4022.086	5422.071	955.853
CGR1	6	11	20	18	162.8458333	179.98722	272.76694	131.843	1.62	4999.971	5131.69	1007.986
333	6	11	20	19	162.8465278	102.8425	267.17361	1050.003	1.62	3977.501	5233.104	949.92
444	6	11	20	19	162.8465278	113.3475	267.53889	1066.084	1.62	4022.105	5422.108	955.916
CGR1	6	11	20	30	162.8541667	359.98722	87.24361	131.843	1.62	4999.971	5131.691	1007.961
CGR1	6	11	20	32	162.8555556	179.99	272.76639	131.843	1.62	4999.977	5131.69	1007.985
