June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
111	154.3875	6	3	9	18	288.22306	92.63417	1067.106	1.62	3987.477	5333.351	952.654
333	154.3875	6	3	9	18	285.5825	92.53028	1276.378	1.62	3771.724	5342.536	945.38
CGR1	154.3881944	6	3	9	19	359.99472	87.23722	131.884	1.62	4999.988	5131.73	1007.978
111	154.3881944	6	3	9	19	108.22639	267.3725	1067.104	1.62	3987.492	5333.411	952.781
333	154.3881944	6	3	9	19	105.58472	267.47806	1276.376	1.62	3771.731	5342.584	945.568
CGR1	154.3888889	6	3	9	20	179.99417	272.77278	131.883	1.62	4999.987	5131.729	1008.001
111	154.3958333	6	3	9	30	288.22556	92.6375	1067.086	1.62	3987.512	5333.387	952.592
333	154.3958333	6	3	9	30	285.58472	92.53278	1276.36	1.62	3771.758	5342.58	945.329
CGR1	154.3965278	6	3	9	31	0.00194	87.23806	131.883	1.62	5000.004	5131.73	1007.976
111	154.3965278	6	3	9	31	108.22583	267.37333	1067.084	1.62	3987.508	5333.397	952.794
333	154.3972222	6	3	9	32	105.58583	267.47639	1276.358	1.62	3771.757	5342.603	945.535
CGR1	154.3972222	6	3	9	32	180.00333	272.77611	131.883	1.62	5000.008	5131.729	1008.009
111	154.40625	6	3	9	45	288.22528	92.63528	1067.067	1.62	3987.529	5333.381	952.636
333	154.40625	6	3	9	45	285.58472	92.53194	1276.341	1.62	3771.775	5342.575	945.344
CGR1	154.4069444	6	3	9	46	0.00611	87.23667	131.884	1.62	5000.014	5131.73	1007.98
111	154.4069444	6	3	9	46	108.2225	267.3725	1067.064	1.62	3987.508	5333.331	952.78
333	154.4076389	6	3	9	47	105.58333	267.47583	1276.34	1.62	3771.759	5342.544	945.518
CGR1	154.4076389	6	3	9	47	180.00361	272.77583	131.883	1.62	5000.008	5131.728	1008.008
111	154.4166667	6	3	10	0	288.22139	92.63806	1067.044	1.62	3987.529	5333.301	952.584
333	154.4166667	6	3	10	0	285.58389	92.5325	1276.322	1.62	3771.789	5342.55	945.333
CGR1	154.4173611	6	3	10	1	0.01222	87.2375	131.883	1.62	5000.028	5131.73	1007.978
111	154.4173611	6	3	10	1	108.22528	267.36972	1067.042	1.62	3987.548	5333.373	952.729
333	154.4180556	6	3	10	2	105.58778	267.47694	1276.321	1.62	3771.804	5342.635	945.545
CGR1	154.4180556	6	3	10	2	180.015	272.77389	131.883	1.62	5000.034	5131.728	1008.004
111	154.4270833	6	3	10	15	288.21028	92.63778	1067.023	1.62	3987.484	5333.098	952.589
333	154.4270833	6	3	10	15	285.57194	92.53139	1276.303	1.62	3771.735	5342.293	945.361
CGR1	154.4277778	6	3	10	16	0.00417	87.23778	131.883	1.62	5000.01	5131.73	1007.977
111	154.4277778	6	3	10	16	108.20944	267.36972	1067.022	1.62	3987.475	5333.087	952.732
333	154.4284722	6	3	10	17	105.57389	267.47861	1276.301	1.62	3771.738	5342.334	945.586
CGR1	154.4291667	6	3	10	18	180.00667	272.77444	131.883	1.62	5000.016	5131.728	1008.005
111	154.4375	6	3	10	30	288.2025	92.63694	1067.003	1.62	3987.458	5332.957	952.608
333	154.4375	6	3	10	30	285.56722	92.52778	1276.283	1.62	3771.723	5342.186	945.442
CGR1	154.4381944	6	3	10	31	0.00528	87.23306	131.883	1.62	5000.012	5131.729	1007.988
111	154.4381944	6	3	10	31	108.205	267.36778	1067.001	1.62	3987.471	5333.001	952.694
333	154.4388889	6	3	10	32	105.56944	267.47306	1276.281	1.62	3771.736	5342.231	945.461
CGR1	154.4388889	6	3	10	32	180.00833	272.77167	131.883	1.62	5000.019	5131.729	1007.999
222	154.4409722	6	3	10	35	268.78417	92.04972	1868.492	1.62	3133.106	4960.377	935.023
CGR1	154.4416667	6	3	10	36	88.785	267.95667	1868.487	1.62	3133.102	4960.405	935.241
DX2	154.4430556	6	3	10	38	101.84722	274.87194	0	1.62	0	0	0
DX2	154.44375	6	3	10	39	281.84917	85.13889	0	1.62	0	0	0
CGR1	154.4548611	6	3	10	55	0.01083	87.23722	131.883	1.62	5000.025	5131.729	1007.978
111	154.4548611	6	3	10	55	108.1975	267.36972	1066.964	1.62	3987.46	5332.857	952.733
333	154.4555556	6	3	10	56	105.56444	267.47917	1276.247	1.62	3771.734	5342.115	945.599
CGR1	154.45625	6	3	10	57	180.00917	272.77611	131.883	1.62	5000.021	5131.728	1008.009
111	154.4583333	6	3	11	0	288.19278	92.64056	1066.958	1.62	3987.446	5332.769	952.544
333	154.4583333	6	3	11	0	285.56028	92.52833	1276.242	1.62	3771.72	5342.023	945.43
CGR1	154.4590278	6	3	11	1	0.00944	87.235	131.883	1.62	5000.021	5131.729	1007.983
111	154.4597222	6	3	11	2	108.1975	267.3675	1066.956	1.62	3987.47	5332.857	952.695
333	154.4597222	6	3	11	2	105.56417	267.47889	1276.242	1.62	3771.738	5342.11	945.595
CGR1	154.4604167	6	3	11	3	180.01222	272.77333	131.883	1.62	5000.028	5131.728	1008.002
111	154.46875	6	3	11	15	288.18417	92.63667	1066.936	1.62	3987.414	5332.61	952.615
