Target	Dec Day	Hang	Vang	Dslope	HI	N local	E local	Z local
111	153.9451389	288.50833	92.63361	1068.073	1.62	3988.233	5338.697	952.621
111	153.9451389	108.50806	267.37778	1068.073	1.62	3988.222	5338.695	952.833
111	153.9590278	288.49778	92.63389	1068.045	1.62	3988.196	5338.499	952.619
111	153.9590278	108.49917	267.3775	1068.044	1.62	3988.198	5338.53	952.828
111	153.9611111	108.49722	267.37889	1068.04	1.62	3988.188	5338.493	952.857
111	153.9618056	288.495	92.63028	1068.041	1.62	3988.182	5338.453	952.682
111	153.9659722	288.49361	92.63139	1068.03	1.62	3988.186	5338.425	952.663
111	153.9673611	108.49306	267.38056	1068.028	1.62	3988.173	5338.414	952.886
111	153.9694444	288.49111	92.63167	1068.023	1.62	3988.177	5338.376	952.659
111	153.9708333	108.49222	267.38083	1068.02	1.62	3988.177	5338.401	952.892
111	153.9791667	288.48472	92.62861	1068.003	1.62	3988.155	5338.257	952.719
111	153.98125	108.48556	267.37889	1068	1.62	3988.158	5338.273	952.855
111	153.9895833	288.47806	92.63222	1067.983	1.62	3988.139	5338.134	952.649
111	153.9916667	108.4775	267.37667	1067.98	1.62	3988.131	5338.125	952.816
111	154	288.47111	92.63028	1067.96	1.62	3988.118	5338.005	952.688
111	154.0020833	108.47333	267.37944	1067.957	1.62	3988.125	5338.043	952.87
111	154.0104167	288.46556	92.63083	1067.939	1.62	3988.105	5337.899	952.681
111	154.0125	108.46556	267.37944	1067.937	1.62	3988.099	5337.9	952.871
111	154.0208333	288.45833	92.63194	1067.915	1.62	3988.086	5337.765	952.66
111	154.0229167	108.4575	267.37944	1067.912	1.62	3988.076	5337.753	952.871
111	154.03125	288.45306	92.63278	1067.896	1.62	3988.073	5337.664	952.643
111	154.0333333	108.45306	267.37944	1067.892	1.62	3988.068	5337.666	952.873
111	154.0416667	288.44556	92.63167	1067.875	1.62	3988.049	5337.526	952.665
111	154.04375	108.44528	267.37833	1067.87	1.62	3988.044	5337.522	952.852
111	154.0520833	288.43806	92.63278	1067.852	1.62	3988.027	5337.385	952.644
111	154.0541667	108.44028	267.37778	1067.848	1.62	3988.035	5337.428	952.844
111	154.0625	288.43278	92.63361	1067.828	1.62	3988.019	5337.285	952.632
111	154.0645833	108.43361	267.37722	1067.825	1.62	3988.018	5337.303	952.834
111	154.0729167	288.42583	92.63417	1067.805	1.62	3988.001	5337.156	952.622
111	154.075	108.42667	267.37667	1067.802	1.62	3988	5337.173	952.823
111	154.0833333	288.41861	92.63278	1067.784	1.62	3987.976	5337.018	952.651
111	154.0847222	108.41917	267.38	1067.782	1.62	3987.972	5337.033	952.887
111	154.09375	288.41139	92.63111	1067.762	1.62	3987.955	5336.888	952.681
111	154.0958333	108.4125	267.37556	1067.758	1.62	3987.959	5336.906	952.805
111	154.1041667	288.405	92.63167	1067.74	1.62	3987.939	5336.769	952.671
111	154.10625	108.40333	267.38028	1067.736	1.62	3987.923	5336.738	952.893
111	154.1145833	288.39806	92.63028	1067.718	1.62	3987.918	5336.64	952.697
111	154.1166667	108.39889	267.38056	1067.713	1.62	3987.917	5336.654	952.901
111	154.125	288.39111	92.63167	1067.694	1.62	3987.899	5336.505	952.673
111	154.1270833	108.39194	267.37806	1067.688	1.62	3987.902	5336.521	952.856
111	154.1354167	288.38583	92.63139	1067.67	1.62	3987.892	5336.408	952.683
111	154.1375	108.38472	267.37833	1067.666	1.62	3987.88	5336.387	952.862
111	154.1458333	288.37806	92.63333	1067.647	1.62	3987.868	5336.26	952.647
111	154.1479167	108.37639	267.37944	1067.642	1.62	3987.854	5336.234	952.883
111	154.15625	288.37056	92.63194	1067.623	1.62	3987.847	5336.123	952.675
111	154.1583333	108.37139	267.37889	1067.62	1.62	3987.846	5336.139	952.872
111	154.1666667	288.365	92.63417	1067.598	1.62	3987.839	5336.013	952.635
111	154.16875	108.36389	267.37528	1067.595	1.62	3987.829	5335.998	952.81
111	154.1770833	288.35778	92.63361	1067.576	1.62	3987.817	5335.878	952.641
111	154.1791667	108.35833	267.37528	1067.573	1.62	3987.817	5335.89	952.808
