Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
222	154.947	268.929	92.039	1869.950	1.620	3131.543	4965.057	935.306
222	154.947	88.931	267.969	1869.950	1.620	3131.531	4965.137	935.586
222	154.959	268.925	92.039	1869.921	1.620	3131.574	4964.940	935.328
222	154.960	88.927	267.968	1869.923	1.620	3131.562	4964.996	935.567
222	154.962	88.924	267.967	1869.911	1.620	3131.578	4964.915	935.512
222	154.962	268.923	92.040	1869.906	1.620	3131.591	4964.876	935.299
222	154.966	268.921	92.041	1869.899	1.620	3131.600	4964.824	935.257
222	154.967	88.924	267.968	1869.896	1.620	3131.592	4964.897	935.543
222	154.969	268.920	92.041	1869.887	1.620	3131.613	4964.786	935.246
222	154.971	88.921	267.968	1869.886	1.620	3131.603	4964.821	935.539
222	154.980	268.917	92.042	1869.867	1.620	3131.636	4964.685	935.245
222	154.981	88.918	267.967	1869.856	1.620	3131.636	4964.717	935.528
222	154.990	268.913	92.041	1869.839	1.620	3131.665	4964.566	935.251
222	154.992	88.915	267.968	1869.830	1.620	3131.663	4964.609	935.561
222	155.001	268.911	92.040	1869.803	1.620	3131.701	4964.476	935.311
222	155.002	88.913	267.968	1869.807	1.620	3131.687	4964.548	935.560
222	155.011	268.908	92.041	1869.778	1.620	3131.729	4964.386	935.265
222	155.013	88.909	267.968	1869.776	1.620	3131.721	4964.421	935.550
222	155.022	268.905	92.041	1869.751	1.620	3131.759	4964.280	935.260
222	155.023	88.907	267.966	1869.740	1.620	3131.760	4964.343	935.493
222	155.032	268.900	92.042	1869.725	1.620	3131.788	4964.140	935.236
222	155.033	88.903	267.968	1869.717	1.620	3131.782	4964.229	935.576
222	155.042	268.898	92.041	1869.687	1.620	3131.827	4964.051	935.257
222	155.044	88.899	267.966	1869.686	1.620	3131.819	4964.084	935.511
222	155.053	268.894	92.043	1869.654	1.620	3131.864	4963.929	935.222
222	155.054	88.894	267.969	1869.650	1.620	3131.855	4963.946	935.587
222	155.063	268.891	92.041	1869.632	1.620	3131.887	4963.828	935.260
222	155.065	88.894	267.966	1869.627	1.620	3131.881	4963.941	935.512
222	155.074	268.888	92.042	1869.600	1.620	3131.921	4963.742	935.231
222	155.075	88.891	267.967	1869.592	1.620	3131.916	4963.831	935.538
222	155.083	268.885	92.042	1869.565	1.620	3131.958	4963.631	935.231
222	155.085	88.887	267.967	1869.565	1.620	3131.946	4963.696	935.547
222	155.094	268.881	92.042	1869.532	1.620	3131.994	4963.511	935.240
222	155.105	268.878	92.043	1869.498	1.620	3132.030	4963.418	935.205
222	155.106	88.881	267.966	1869.498	1.620	3132.018	4963.517	935.493
222	155.115	268.874	92.042	1869.470	1.620	3132.059	4963.294	935.254
222	155.117	88.877	267.966	1869.461	1.620	3132.058	4963.369	935.507
222	155.126	268.869	92.041	1869.428	1.620	3132.103	4963.118	935.283
222	155.127	88.872	267.966	1869.434	1.620	3132.088	4963.212	935.499
222	155.136	268.869	92.043	1869.404	1.620	3132.130	4963.117	935.226
222	155.138	88.869	267.966	1869.390	1.620	3132.133	4963.137	935.508
222	155.147	268.864	92.043	1869.362	1.620	3132.175	4962.973	935.210
222	155.148	88.865	267.964	1869.358	1.620	3132.171	4963.003	935.440
222	155.157	268.861	92.042	1869.335	1.620	3132.203	4962.870	935.243
222	155.158	88.864	267.965	1869.328	1.620	3132.201	4962.953	935.467
222	155.167	268.857	92.043	1869.302	1.620	3132.240	4962.724	935.221
222	155.169	88.859	267.965	1869.296	1.620	3132.236	4962.817	935.470
222	155.178	268.853	92.044	1869.263	1.620	3132.283	4962.620	935.177
222	155.179	88.857	267.965	1869.261	1.620	3132.271	4962.728	935.481
222	155.188	268.850	92.043	1869.227	1.620	3132.319	4962.519	935.227
222	155.190	88.853	267.965	1869.230	1.620	3132.305	4962.587	935.495
222	155.199	268.848	92.045	1869.192	1.620	3132.357	4962.449	935.169
222	155.200	88.850	267.964	1869.180	1.620	3132.358	4962.510	935.458
222	155.209	268.844	92.044	1869.159	1.620	3132.393	4962.324	935.180
222	155.210	88.846	267.963	1869.153	1.620	3132.388	4962.378	935.426
222	155.219	268.841	92.045	1869.129	1.620	3132.425	4962.214	935.159
222	155.344	268.806	92.048	1868.753	1.620	3132.828	4961.074	935.090
222	155.346	88.803	267.963	1868.748	1.620	3132.823	4960.971	935.429
222	155.356	88.802	267.963	1868.719	1.620	3132.852	4960.959	935.419
