Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
CGR1	154.943	0.000	87.238	131.884	1.620	5000.001	5131.731	1007.977
CGR1	154.944	179.998	272.775	131.884	1.620	4999.995	5131.729	1008.006
CGR1	154.949	179.999	272.774	131.883	1.620	4999.997	5131.729	1008.004
CGR1	154.949	359.998	87.236	131.884	1.620	4999.994	5131.730	1007.980
CGR1	154.958	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.981
CGR1	154.958	179.999	272.773	131.884	1.620	4999.998	5131.729	1008.002
CGR1	154.960	179.999	272.774	131.883	1.620	4999.997	5131.729	1008.004
CGR1	154.960	359.999	87.236	131.883	1.620	4999.998	5131.730	1007.980
CGR1	154.960	179.999	272.773	131.883	1.620	4999.998	5131.729	1008.000
CGR1	154.961	359.999	87.237	131.883	1.620	4999.997	5131.730	1007.979
CGR1	154.963	360.000	87.237	131.884	1.620	4999.999	5131.730	1007.979
CGR1	154.963	179.998	272.775	131.883	1.620	4999.994	5131.729	1008.006
CGR1	154.965	359.998	87.236	131.884	1.620	4999.996	5131.730	1007.980
CGR1	154.967	179.999	272.774	131.884	1.620	4999.998	5131.729	1008.004
CGR1	154.967	360.000	87.236	131.884	1.620	4999.999	5131.730	1007.980
CGR1	154.967	179.998	272.775	131.883	1.620	4999.996	5131.729	1008.005
CGR1	154.968	359.999	87.236	131.883	1.620	4999.999	5131.730	1007.981
CGR1	154.969	179.999	272.775	131.883	1.620	4999.997	5131.729	1008.007
CGR1	154.969	359.999	87.237	131.884	1.620	4999.999	5131.730	1007.979
CGR1	154.970	179.998	272.776	131.884	1.620	4999.996	5131.729	1008.008
CGR1	154.970	359.999	87.237	131.884	1.620	4999.997	5131.730	1007.979
CGR1	154.971	179.999	272.775	131.883	1.620	4999.997	5131.729	1008.006
CGR1	154.972	359.998	87.236	131.884	1.620	4999.995	5131.730	1007.980
CGR1	154.972	180.001	272.774	131.883	1.620	5000.002	5131.729	1008.005
CGR1	154.979	359.999	87.237	131.883	1.620	4999.998	5131.730	1007.978
CGR1	154.980	179.999	272.775	131.883	1.620	4999.997	5131.729	1008.005
CGR1	154.981	359.999	87.237	131.884	1.620	4999.999	5131.730	1007.980
CGR1	154.981	179.999	272.774	131.883	1.620	4999.999	5131.729	1008.004
CGR1	154.982	359.999	87.236	131.883	1.620	4999.998	5131.730	1007.981
CGR1	154.982	179.999	272.775	131.883	1.620	4999.997	5131.729	1008.006
CGR1	154.990	359.998	87.237	131.884	1.620	4999.996	5131.730	1007.979
CGR1	154.990	179.998	272.774	131.883	1.620	4999.994	5131.729	1008.003
