marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
R1	9	14	10	32	359.99528	87.25056	0	0	0	0
R1	9	14	10	33	179.99556	272.76306	0	0	0	0
555	9	14	10	53	290.22306	92.56861	1656.561	3447.104	5572.064	927.571
555	9	14	10	54	110.22556	267.44472	1656.561	3447.115	5572.14	927.953
R1	9	14	10	57	359.99444	87.25389	131.906	4999.987	5131.754	1007.941
R1	9	14	10	57	179.99583	272.76167	131.905	4999.99	5131.752	1007.976
R1	9	14	11	54	359.99222	87.25222	131.906	4999.982	5131.754	1007.944
555	9	14	11	55	290.20833	92.56861	1656.493	3447.02	5571.639	927.572
555	9	14	12	0	290.20389	92.56694	1656.488	3446.98	5571.521	927.621
R1	9	14	12	0	359.99167	87.25139	131.906	4999.981	5131.754	1007.946
555	9	14	12	1	110.20667	267.4475	1656.486	3446.992	5571.603	928.037
R1	9	14	12	1	179.99306	272.76056	131.906	4999.984	5131.753	1007.974
555	9	14	12	10	290.20333	92.56778	1656.475	3446.989	5571.503	927.595
R1	9	14	12	10	359.99167	87.25222	131.906	4999.981	5131.754	1007.944
555	9	14	12	11	110.20583	267.44583	1656.475	3446.997	5571.577	927.985
R1	9	14	12	11	179.99278	272.75861	131.905	4999.983	5131.753	1007.97
555	9	14	12	20	290.20056	92.56778	1656.466	3446.968	5571.422	927.595
R1	9	14	12	20	359.99	87.25278	131.906	4999.977	5131.754	1007.944
555	9	14	12	21	110.20389	267.44417	1656.464	3446.987	5571.514	927.942
R1	9	14	12	21	179.99111	272.76083	131.906	4999.98	5131.752	1007.975
555	9	14	12	30	290.19917	92.5675	1656.455	3446.963	5571.377	927.606
R1	9	14	12	30	359.99167	87.25222	131.906	4999.981	5131.754	1007.945
555	9	14	12	31	110.20111	267.44389	1656.456	3446.97	5571.442	927.934
R1	9	14	12	31	179.99167	272.76028	131.906	4999.981	5131.753	1007.974
555	9	14	12	40	290.19667	92.56806	1656.445	3446.949	5571.308	927.585
R1	9	14	12	40	359.99056	87.25306	131.906	4999.979	5131.754	1007.942
555	9	14	12	41	110.19861	267.44444	1656.445	3446.954	5571.366	927.946
R1	9	14	12	41	179.99194	272.76083	131.906	4999.981	5131.752	1007.975
555	9	14	12	50	290.19417	92.56889	1656.434	3446.937	5571.239	927.565
R1	9	14	12	50	359.99	87.2525	131.906	4999.977	5131.754	1007.944
555	9	14	12	51	110.19806	267.44444	1656.436	3446.955	5571.345	927.949
R1	9	14	12	51	179.99194	272.76	131.906	4999.982	5131.753	1007.973
555	9	14	13	0	290.1925	92.56861	1656.425	3446.928	5571.19	927.576
R1	9	14	13	0	359.98972	87.25333	131.906	4999.977	5131.754	1007.942
555	9	14	13	1	110.19528	267.44306	1656.425	3446.94	5571.267	927.91
