marker,t,x,y,z
1,2008-06-17T06:08:00,496514.707392097,6777212.59133202,62.4511109770599
1,2008-06-17T06:23:00,496514.607101641,6777212.48464562,62.4800015198231
1,2008-06-17T06:38:00,496514.56500533,6777212.45024019,62.486582417808
1,2008-06-17T06:53:00,496514.509471431,6777212.38539745,62.5250401860631
1,2008-06-17T07:08:00,496514.398609868,6777212.27487469,62.545528410268
1,2008-06-17T07:23:00,496514.323271912,6777212.1799664,62.5882606219927
1,2008-06-17T07:38:00,496514.170146904,6777212.04904296,62.647413079596
1,2008-06-17T07:53:00,496514.094969856,6777211.95383978,62.6928373960715
1,2008-06-17T08:08:00,496513.985670339,6777211.8402367,62.7355785004949
1,2008-06-17T08:23:00,496513.92136656,6777211.74807315,62.7922248340228
1,2008-06-17T08:38:00,496513.810897895,6777211.63663949,62.8347766099935
1,2008-06-17T08:53:00,496513.701193317,6777211.5237928,62.8830920451668
1,2008-06-17T09:08:00,496513.614549252,6777211.42079235,62.9175584891951
1,2008-06-17T09:23:00,496513.47041642,6777211.29704285,62.9903424232951
1,2008-06-17T09:38:00,496513.37283954,6777211.19102005,63.0082125084716
1,2008-06-17T09:53:00,496513.261921256,6777211.08147644,63.0644808298007
1,2008-06-17T10:08:00,496513.171174864,6777210.98091556,63.0848644986877
1,2008-06-17T10:23:00,496513.04641708,6777210.86778081,63.1133855342882
1,2008-06-17T10:38:00,496512.925439681,6777210.75380497,63.1172884628299
1,2008-06-17T10:53:00,496512.809879283,6777210.64741154,63.1373066646829
1,2008-06-17T11:08:00,496512.712234254,6777210.54846801,63.1354606547087
1,2008-06-17T11:23:00,496512.580791164,6777210.43745333,63.1470767707611
1,2008-06-17T11:38:00,496512.474682213,6777210.33725803,63.1368312095547
1,2008-06-17T11:53:00,496512.320213239,6777210.21692848,63.1290416463778
1,2008-06-17T12:08:00,496512.210214879,6777210.11886776,63.1130870200585
1,2008-06-17T12:23:00,496512.0521033,6777209.99965639,63.08578743624
1,2008-06-17T12:38:00,496511.9336007,6777209.9001914,63.0667967573004
1,2008-06-17T12:53:00,496511.795532173,6777209.79025489,63.0149114267166
1,2008-06-17T13:08:00,496511.685921502,6777209.69817034,62.9763791381081
1,2008-06-17T13:23:00,496511.521651168,6777209.57942652,62.9297416972692
1,2008-06-17T13:38:00,496511.370138398,6777209.46578228,62.8611559015038
1,2008-06-17T13:53:00,496511.200048166,6777209.34669996,62.7895986066757
1,2008-06-17T14:08:00,496511.066310601,6777209.24106756,62.7072535637842
1,2008-06-17T14:23:00,496510.932700167,6777209.14117,62.6409825303854
1,2008-06-17T14:38:00,496510.75874335,6777209.02395357,62.5885117158904
1,2008-06-17T14:53:00,496510.603236891,6777208.9129925,62.5030978731627
1,2008-06-17T15:08:00,496510.462877804,6777208.8085833,62.4204859052023
1,2008-06-17T15:23:00,496510.264348938,6777208.67855306,62.3432626650393
1,2008-06-17T15:38:00,496510.114927521,6777208.56774718,62.274576605639
1,2008-06-17T15:53:00,496509.980156789,6777208.46433794,62.1810846188482
1,2008-06-17T16:08:00,496509.814452467,6777208.34907626,62.1094326892171
1,2008-06-17T16:23:00,496509.671928954,6777208.24285477,62.046108607487
1,2008-06-17T16:38:00,496509.507262105,6777208.12514751,61.9802032156936
1,2008-06-17T16:53:00,496509.366620852,6777208.01511224,61.9145232328034
1,2008-06-17T17:08:00,496509.236053064,6777207.90934487,61.8652099862467
1,2008-06-17T17:23:00,496509.067149857,6777207.78810602,61.8351675470853
1,2008-06-17T17:38:00,496508.877456255,6777207.65244933,61.7999065077406
1,2008-06-17T17:53:00,496508.794837638,6777207.56822298,61.7865724643622
1,2008-06-17T18:08:00,496508.661269341,6777207.45530769,61.762504703276
1,2008-06-17T18:23:00,496508.542844765,6777207.34989197,61.7521632981965
1,2008-06-17T18:38:00,496508.400364094,6777207.23075716,61.7364561214679
1,2008-06-17T18:53:00,496508.287802599,6777207.12572127,61.7455745665762
1,2008-06-17T19:08:00,496508.182191523,6777207.02532215,61.7792450873321
1,2008-06-17T19:23:00,496508.068767776,6777206.91532901,61.780348902852
1,2008-06-17T19:38:00,496507.932448825,6777206.796237,61.7924424015033
1,2008-06-17T19:53:00,496507.836477528,6777206.69492291,61.815474292461
1,2008-06-17T20:08:00,496507.72259028,6777206.58579813,61.8440171361992
1,2008-06-17T20:23:00,496507.639799251,6777206.48890137,61.8810101367012
1,2008-06-17T20:38:00,496507.511358472,6777206.37253127,61.9370960991507
1,2008-06-17T20:53:00,496507.444124791,6777206.28129191,61.9493401926127
1,2008-06-17T21:08:00,496507.317241629,6777206.16160792,61.9837154885699
1,2008-06-17T21:23:00,496507.231609854,6777206.06387649,62.0205619094263
1,2008-06-18T05:44:00,496503.268165512,6777202.50503688,62.0338100892861
1,2008-06-18T05:59:00,496503.144074267,6777202.39344973,62.0401605498794
1,2008-06-18T06:14:00,496503.020294189,6777202.28122828,62.0575294112799
1,2008-06-18T06:29:00,496502.911273602,6777202.17630416,62.0666672254576
1,2008-06-18T06:44:00,496502.791353406,6777202.06220363,62.0869442345057
1,2008-06-18T06:59:00,496502.686109193,6777201.956045,62.1072446342869
1,2008-06-18T07:14:00,496502.592826401,6777201.85661113,62.1685658401228
1,2008-06-18T07:29:00,496502.473851733,6777201.74058519,62.1945222240151
