---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
2
RRRR,6, 18, 19, 6,180.00028,94.38417,23.0780,5000.0000,4976.9900,999.9360
1111,6, 18, 19, 7,293.13611,94.27389,1136.2340,3958.0420,5445.2110,917.1110
2222,6, 18, 19, 9,310.46444,93.08306,1513.9590,3849.8210,5981.1140,920.4320
3333,6, 18, 19, 10,301.79889,93.90333,1152.5240,4022.7280,5605.9090,923.3330
RRRR,6, 18, 19, 15,179.99972,94.38556,23.0780,5000.0000,4976.9900,999.9350
RRRR,6, 18, 19, 15,359.99833,265.62333,23.0780,5000.0010,4976.9890,999.9390
1111,6, 18, 19, 16,113.13056,265.73361,1136.2090,3958.0100,5445.1030,917.2620
1111,6, 18, 19, 16,293.13139,94.27361,1136.2080,3958.0280,5445.1150,917.1190
2222,6, 18, 19, 16,310.46139,93.08222,1513.9140,3849.7990,5981.0210,920.4570
2222,6, 18, 19, 16,130.45972,266.92444,1513.9130,3849.7670,5980.9960,920.6270
3333,6, 18, 19, 17,121.79389,266.10417,1152.4940,4022.6930,5605.8150,923.4860
3333,6, 18, 19, 17,301.79556,93.90389,1152.4920,4022.7200,5605.8350,923.3260
RRRR,6, 18, 19, 30,180.00500,94.38278,23.0780,4999.9980,4976.9900,999.9360
RRRR,6, 18, 19, 30,0.00250,265.62194,23.0780,4999.9990,4976.9900,999.9380
1111,6, 18, 19, 31,113.12694,265.73361,1136.1610,3958.0270,5445.0180,917.2630
1111,6, 18, 19, 31,293.12778,94.27361,1136.1580,3958.0470,5445.0310,917.1220
2222,6, 18, 19, 31,310.46194,93.08194,1513.8250,3849.8790,5980.9780,920.4690
2222,6, 18, 19, 32,130.46028,266.92361,1513.8230,3849.8460,5980.9470,920.6130
3333,6, 18, 19, 32,121.79139,266.10389,1152.4250,4022.7230,5605.7320,923.4860
3333,6, 18, 19, 32,301.79333,93.90389,1152.4220,4022.7560,5605.7620,923.3310
RRRR,6, 18, 19, 45,180.00444,94.38389,23.0770,4999.9980,4976.9900,999.9360
RRRR,6, 18, 19, 45,0.00333,265.62306,23.0780,4999.9990,4976.9890,999.9390
1111,6, 18, 19, 46,113.11861,265.73389,1136.1100,3958.0090,5444.8470,917.2750
1111,6, 18, 19, 46,293.11972,94.27167,1136.1090,3958.0270,5444.8660,917.1640
2222,6, 18, 19, 46,310.45722,93.08083,1513.7350,3849.8620,5980.8230,920.5010
2222,6, 18, 19, 47,130.45556,266.92444,1513.7340,3849.8290,5980.7930,920.6390
3333,6, 18, 19, 47,121.78389,266.10333,1152.3540,4022.7060,5605.5690,923.4820
3333,6, 18, 19, 47,301.78583,93.90361,1152.3520,4022.7360,5605.5950,923.3410
RRRR,6, 18, 20, 1,180.00444,94.38472,23.0780,4999.9980,4976.9900,999.9360
RRRR,6, 18, 20, 1,0.00222,265.62278,23.0780,4999.9990,4976.9900,999.9390
1111,6, 18, 20, 2,113.11000,265.73528,1136.0550,3957.9900,5444.6670,917.3020
1111,6, 18, 20, 2,293.11139,94.27139,1136.0540,3958.0110,5444.6920,917.1730
2222,6, 18, 20, 2,310.45250,93.08111,1513.6380,3849.8560,5980.6650,920.5010
2222,6, 18, 20, 3,130.44944,266.92556,1513.6350,3849.7990,5980.6080,920.6750
3333,6, 18, 20, 3,121.77583,266.10500,1152.2760,4022.6860,5605.3930,923.5170
3333,6, 18, 20, 3,301.77806,93.90222,1152.2740,4022.7170,5605.4210,923.3720
RRRR,6, 18, 20, 15,180.00306,94.38556,23.0780,4999.9990,4976.9900,999.9350
