---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
RRRR,6, 19, 18, 27,180.00361,94.38417,23.0780,4999.9990,4976.9900,999.9360
1111,6, 19, 18, 29,292.40611,94.30639,1132.2010,3956.2160,5430.3460,916.7720
2222,6, 19, 18, 30,310.04306,93.09417,1505.6950,3848.9660,5967.3080,920.5800
3333,6, 19, 18, 31,301.13472,93.93194,1146.4110,4021.0230,5591.3660,923.1790
RRRR,6, 19, 18, 45,180.00667,94.38556,23.0780,4999.9970,4976.9900,999.9350
RRRR,6, 19, 18, 45,0.00556,265.62389,23.0780,4999.9980,4976.9890,999.9390
1111,6, 19, 18, 46,112.39639,265.69750,1132.1620,3956.1730,5430.1550,916.8510
1111,6, 19, 18, 46,292.39778,94.31000,1132.1590,3956.1980,5430.1790,916.7010
2222,6, 19, 18, 46,310.03750,93.09528,1505.6010,3848.9440,5967.1350,920.5560
2222,6, 19, 18, 47,130.03444,266.91222,1505.5990,3848.8870,5967.0800,920.7560
3333,6, 19, 18, 47,121.12333,266.07250,1146.3480,4020.9540,5591.1400,923.2710
3333,6, 19, 18, 48,301.12528,93.93611,1146.3470,4020.9850,5591.1680,923.1000
RRRR,6, 19, 19, 0,180.00639,94.38361,23.0780,4999.9970,4976.9900,999.9360
RRRR,6, 19, 19, 0,0.00500,265.62278,23.0780,4999.9980,4976.9900,999.9390
1111,6, 19, 19, 1,112.38750,265.69472,1132.1230,3956.1470,5429.9800,916.7970
1111,6, 19, 19, 1,292.38944,94.31056,1132.1230,3956.1690,5430.0130,916.6910
2222,6, 19, 19, 1,310.03222,93.09389,1505.5150,3848.9220,5966.9780,920.5970
2222,6, 19, 19, 2,130.03000,266.91194,1505.5130,3848.8760,5966.9330,920.7530
3333,6, 19, 19, 2,121.11528,266.07000,1146.2900,4020.9240,5590.9730,923.2260
3333,6, 19, 19, 2,301.11778,93.93444,1146.2870,4020.9590,5591.0130,923.1340
RRRR,6, 19, 19, 15,180.00750,94.38528,23.0780,4999.9970,4976.9900,999.9350
RRRR,6, 19, 19, 15,0.00639,265.62417,23.0780,4999.9970,4976.9890,999.9390
1111,6, 19, 19, 16,112.37861,265.69500,1132.0860,3956.1140,5429.8030,916.8070
1111,6, 19, 19, 16,292.38139,94.31139,1132.0840,3956.1460,5429.8520,916.6810
2222,6, 19, 19, 16,310.02639,93.09611,1505.4290,3848.8910,5966.8020,920.5430
2222,6, 19, 19, 17,130.02583,266.90972,1505.4270,3848.8750,5966.7930,920.6970
3333,6, 19, 19, 17,121.10806,266.07028,1146.2270,4020.9030,5590.8170,923.2360
3333,6, 19, 19, 17,301.10972,93.93667,1146.2250,4020.9290,5590.8380,923.0980
RRRR,6, 19, 19, 30,180.00667,94.38556,23.0780,4999.9970,4976.9900,999.9350
RRRR,6, 19, 19, 30,0.00500,265.62306,23.0780,4999.9980,4976.9900,999.9390
1111,6, 19, 19, 31,112.37056,265.69472,1132.0430,3956.0930,5429.6390,916.8050
1111,6, 19, 19, 31,292.37278,94.31389,1132.0430,3956.1220,5429.6750,916.6320
2222,6, 19, 19, 31,310.02306,93.09556,1505.3400,3848.9000,5966.6770,920.5640
2222,6, 19, 19, 32,130.01972,266.91000,1505.3380,3848.8420,5966.6160,920.7090
3333,6, 19, 19, 32,121.10056,266.07000,1146.1620,4020.8820,5590.6550,923.2330
3333,6, 19, 19, 33,301.10278,93.93778,1146.1600,4020.9160,5590.6870,923.0780
RRRR,6, 19, 19, 45,180.00889,94.38528,23.0780,4999.9960,4976.9900,999.9350
RRRR,6, 19, 19, 45,0.00722,265.62333,23.0780,4999.9970,4976.9900,999.9390
1111,6, 19, 19, 46,112.36194,265.69333,1132.0000,3956.0710,5429.4670,916.7780
1111,6, 19, 19, 46,292.36500,94.31306,1131.9980,3956.1050,5429.5190,916.6530
2222,6, 19, 19, 46,310.01806,93.09639,1505.2540,3848.8840,5966.5220,920.5440
2222,6, 19, 19, 47,130.01583,266.91028,1505.2510,3848.8420,5966.4820,920.7210
3333,6, 19, 19, 47,121.09306,266.06972,1146.0970,4020.8610,5590.4950,923.2340
3333,6, 19, 19, 48,301.09444,93.93694,1146.0950,4020.8840,5590.5110,923.0980
RRRR,6, 19, 20, 0,180.00556,94.38417,23.0780,4999.9980,4976.9900,999.9360
RRRR,6, 19, 20, 0,0.00722,265.62250,23.0780,4999.9970,4976.9900,999.9390
1111,6, 19, 20, 1,112.35583,265.69306,1131.9540,3956.0670,5429.3360,916.7770
1111,6, 19, 20, 1,292.35833,94.31333,1131.9540,3956.0960,5429.3820,916.6530
2222,6, 19, 20, 1,310.01389,93.09639,1505.1680,3848.8780,5966.3810,920.5510
2222,6, 19, 20, 2,130.01083,266.91139,1505.1650,3848.8230,5966.3270,920.7530
3333,6, 19, 20, 2,121.08722,266.06972,1146.0300,4020.8590,5590.3610,923.2350
3333,6, 19, 20, 3,301.08833,93.93750,1146.0290,4020.8790,5590.3740,923.0930
