Target	Month	Day	Hr	Min	Hang	Vang	Dslope	X	Y	Z
RRRR	6	19	20	9	180.00806	94.38417	23.078	4999.997	4976.99	999.936
1111	6	19	20	10	292.35306	94.31167	1131.925	3956.079	5429.271	916.686
2222	6	19	20	11	310.00944	93.09694	1505.111	3848.849	5966.257	920.537
3333	6	19	20	12	301.08417	93.93694	1145.986	4020.871	5590.279	923.105
RRRR	6	19	20	15	180.00806	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	19	20	15	0.0075	265.62361	23.078	4999.997	4976.99	999.939
1111	6	19	20	15	112.34833	265.69361	1131.908	3956.054	5429.185	916.791
1111	6	19	20	16	292.35083	94.31444	1131.907	3956.083	5429.223	916.634
2222	6	19	20	16	310.00833	93.0975	1505.083	3848.853	5966.217	920.529
2222	6	19	20	16	130.0075	266.91	1505.08	3848.831	5966.203	920.723
3333	6	19	20	17	121.08083	266.07	1145.964	4020.846	5590.214	923.246
3333	6	19	20	17	301.08306	93.93861	1145.963	4020.881	5590.248	923.076
RRRR	6	19	20	30	180.00722	94.38417	23.078	4999.997	4976.99	999.936
RRRR	6	19	20	30	0.00639	265.62306	23.077	4999.997	4976.99	999.939
1111	6	19	20	30	112.34056	265.69361	1131.86	3956.04	5429.025	916.795
1111	6	19	20	31	292.34333	94.31167	1131.858	3956.069	5429.072	916.693
2222	6	19	20	31	310.00417	93.09722	1504.995	3848.847	5966.075	920.541
2222	6	19	20	31	130.00361	266.91028	1504.995	3848.832	5966.072	920.733
3333	6	19	20	32	121.07417	266.06778	1145.895	4020.841	5590.067	923.211
3333	6	19	20	32	301.07472	93.93778	1145.894	4020.854	5590.071	923.099
RRRR	6	19	20	45	180.0075	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	19	20	45	0.0075	265.62361	23.078	4999.997	4976.99	999.939
1111	6	19	20	46	112.33417	265.695	1131.81	3956.036	5428.891	916.828
1111	6	19	20	46	292.33667	94.31222	1131.808	3956.067	5428.932	916.682
2222	6	19	20	46	310	93.09722	1504.909	3848.842	5965.934	920.541
2222	6	19	20	47	129.99861	266.91167	1504.905	3848.811	5965.912	920.779
3333	6	19	20	47	121.0675	266.07056	1145.825	4020.828	5589.916	923.266
3333	6	19	20	47	301.06722	93.9375	1145.823	4020.838	5589.908	923.105
RRRR	6	19	21	0	180.00806	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	19	21	0	0.00722	265.625	23.078	4999.997	4976.989	999.94
1111	6	19	21	1	112.32861	265.69833	1131.759	3956.037	5428.771	916.896
1111	6	19	21	1	292.32889	94.30917	1131.758	3956.049	5428.77	916.747
2222	6	19	21	1	309.99611	93.09444	1504.822	3848.843	5965.806	920.621
2222	6	19	21	2	129.99444	266.91278	1504.819	3848.809	5965.777	920.808
3333	6	19	21	2	121.06167	266.07583	1145.753	4020.823	5589.783	923.377
3333	6	19	21	2	301.06222	93.935	1145.752	4020.843	5589.785	923.159
RRRR	6	19	21	15	180.00833	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	19	21	15	0.00722	265.62306	23.078	4999.997	4976.99	999.939
1111	6	19	21	15	112.32	265.6975	1131.707	3956.021	5428.593	916.886
1111	6	19	21	16	292.3225	94.30833	1131.707	3956.048	5428.636	916.771
2222	6	19	21	16	309.99222	93.09444	1504.735	3848.84	5965.668	920.627
2222	6	19	21	17	129.99028	266.91139	1504.733	3848.805	5965.635	920.777
3333	6	19	21	17	121.05389	266.07333	1145.68	4020.81	5589.613	923.332
3333	6	19	21	17	301.05556	93.935	1145.678	4020.838	5589.636	923.169
RRRR	6	19	21	30	180.00833	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	19	21	30	0.0075	265.6225	23.078	4999.997	4976.99	999.939
1111	6	19	21	30	112.31389	265.69972	1131.653	3956.022	5428.463	916.933
1111	6	19	21	31	292.315	94.30611	1131.652	3956.039	5428.478	916.815
2222	6	19	21	31	309.98861	93.09306	1504.647	3848.848	5965.543	920.664
2222	6	19	21	32	129.98639	266.91333	1504.645	3848.802	5965.5	920.835
