t,x,y,z
2009-05-09T16:59:00Z,497620.772285063,6778043.39458541,923.910193598304
2009-05-09T17:04:15Z,497620.774113518,6778043.37323484,923.907495957295
2009-05-09T17:19:15Z,497620.60976142,6778043.25978493,923.899862599782
2009-05-09T17:34:15Z,497620.549966987,6778043.10840842,923.849156411505
2009-05-09T17:49:15Z,497620.505757336,6778042.9519971,923.831247041194
2009-05-09T18:04:15Z,497620.351819502,6778042.84227104,923.859606174288
2009-05-09T18:19:00Z,497620.297186545,6778042.69264995,923.843308552624
2009-05-09T18:34:15Z,497620.166462207,6778042.57616947,923.861267004418
2009-05-09T18:49:15Z,497620.134164768,6778042.42262295,923.922493399238
2009-05-09T19:04:15Z,497620.048359872,6778042.28833803,923.918104108947
2009-05-09T19:19:15Z,497619.993372782,6778042.14565946,923.939520219969
2009-05-09T19:34:15Z,497619.959337003,6778041.99770115,923.993645747184
2009-05-09T19:49:00Z,497619.83091424,6778041.8798375,923.98401005836
2009-05-09T20:04:15Z,497619.80160961,6778041.73240467,924.077722146428
2009-05-09T20:34:15Z,497619.642730737,6778041.46900816,924.159996542733
2009-05-09T20:49:15Z,497619.57249374,6778041.3295887,924.172836925249
2009-05-09T21:04:15Z,497619.510914327,6778041.19421375,924.214737319411
2009-05-09T21:57:30Z,497619.182251635,6778040.70186262,924.381518261933
2009-05-09T22:04:15Z,497619.154542456,6778040.66855633,924.357210912951
2009-05-09T22:19:15Z,497619.113419541,6778040.52377928,924.404345088814
2009-05-09T22:34:15Z,497618.988341797,6778040.4020933,924.47235576259
2009-05-09T22:49:15Z,497618.922929311,6778040.26338643,924.478191551743
2009-05-09T23:04:15Z,497618.866557395,6778040.11652023,924.515231818803
2009-05-09T23:19:15Z,497618.778180276,6778039.98509242,924.546932985994
2009-05-09T23:34:15Z,497618.72607511,6778039.83739764,924.59944882893
2009-05-09T23:49:00Z,497618.685225145,6778039.68272559,924.534911443824
2009-05-10T00:04:15Z,497618.516754294,6778039.57221412,924.527211979727
2009-05-10T00:19:00Z,497618.441521976,6778039.42861236,924.538512785753
2009-05-10T00:34:15Z,497618.36602961,6778039.28690291,924.529077108618
2009-05-10T00:49:15Z,497618.244020544,6778039.16063695,924.523102775667
2009-05-10T01:04:15Z,497618.162342612,6778039.01672749,924.537939257863
2009-05-10T01:19:15Z,497618.078951442,6778038.87310539,924.506288299358
2009-05-10T01:34:15Z,497617.951682178,6778038.74463302,924.453972023554
2009-05-10T01:49:15Z,497617.925225892,6778038.57881633,924.431046656665
2009-05-10T02:04:15Z,497617.833600965,6778038.43229686,924.389292272178
2009-05-10T02:19:00Z,497617.680763512,6778038.31398023,924.373100856917
2009-05-10T02:34:15Z,497617.593493567,6778038.16686061,924.31411430787
2009-05-10T02:49:15Z,497617.488294057,6778038.02571992,924.291289362604
2009-05-10T03:04:15Z,497617.408586296,6778037.87677506,924.302859903714
2009-05-10T03:19:15Z,497617.24465563,6778037.75769395,924.240383739361
2009-05-10T03:34:15Z,497617.188086498,6778037.60468954,924.215682700905
2009-05-10T03:49:15Z,497617.143672485,6778037.44473426,924.199692869565
2009-05-10T04:04:15Z,497616.986954106,6778037.32806591,924.192123589125
2009-05-10T04:19:15Z,497616.85781029,6778037.19905278,924.215631818197
2009-05-10T04:34:15Z,497616.787095195,6778037.05241544,924.151322318992
2009-05-10T04:49:15Z,497616.726295233,6778036.89757973,924.111282179686
2009-05-10T05:04:15Z,497616.601129999,6778036.77217619,924.113973448493
2009-05-10T05:19:15Z,497616.506224715,6778036.63970783,924.16986273251
2009-05-10T05:34:15Z,497616.386113381,6778036.51576382,924.237783396605
2009-05-10T05:49:15Z,497616.344199134,6778036.36307652,924.135536233135
2009-05-10T06:04:15Z,497616.249986207,6778036.22457883,924.14004180287
2009-05-10T06:19:15Z,497616.182691794,6778036.08790645,924.154462810374
2009-05-10T06:34:15Z,497616.097230125,6778035.95378284,924.170733931884
2009-05-10T06:49:15Z,497616.000555639,6778035.82398822,924.21276980978
2009-05-10T07:04:15Z,497615.997601042,6778035.66323463,924.237578875932
2009-05-10T07:19:15Z,497615.869449944,6778035.54746864,924.296670694795
2009-05-10T07:34:15Z,497615.805024928,6778035.40851483,924.318000592979
2009-05-10T07:49:15Z,497615.792342042,6778035.24848814,924.370388047399
2009-05-10T08:04:15Z,497615.623232233,6778035.14810153,924.439714972961
2009-05-10T08:19:15Z,497615.619318796,6778034.99255137,924.493533483302
2009-05-10T08:34:15Z,497615.561125566,6778034.85057837,924.557829737015
2009-05-10T08:49:15Z,497615.494853263,6778034.71148385,924.560266106774
2009-05-10T09:04:15Z,497615.419735514,6778034.57833857,924.583209696478
2009-05-10T09:19:15Z,497615.320122048,6778034.45038906,924.659511910764
2009-05-10T09:34:15Z,497615.286841782,6778034.30173954,924.728866460237
2009-05-10T09:49:15Z,497615.226191284,6778034.16049642,924.777670789356
2009-05-10T10:04:15Z,497615.146964068,6778034.02586993,924.781808427585
2009-05-10T10:19:15Z,497615.055054495,6778033.89654013,924.888938007178
2009-05-10T10:34:15Z,497615.023459852,6778033.73952328,924.817745672604
2009-05-10T10:49:15Z,497614.922641379,6778033.60525633,924.832435698007
2009-05-10T11:04:15Z,497614.835276427,6778033.47059799,924.858989943743
2009-05-10T11:19:15Z,497614.736572304,6778033.33451196,924.885731993767
2009-05-10T11:34:15Z,497614.648197498,6778033.19683743,924.88150540761
2009-05-10T11:49:15Z,497614.5548419,6778033.05779934,924.867093341514
2009-05-10T12:04:15Z,497614.456713695,6778032.92333825,924.847428996807
2009-05-10T12:19:15Z,497614.362829425,6778032.78269651,924.867408874701
2009-05-10T12:34:15Z,497614.270765886,6778032.64206565,924.837603421318
2009-05-10T12:49:15Z,497614.166375543,6778032.50507317,924.83355957862
2009-05-10T13:04:15Z,497614.083784588,6778032.35765904,924.767865915397
2009-05-10T13:19:15Z,497613.963277032,6778032.22109458,924.717696495549
2009-05-10T13:34:15Z,497613.871109141,6778032.07473042,924.676119765369
2009-05-10T13:49:15Z,497613.733409061,6778031.94606083,924.637899732057
2009-05-10T14:04:15Z,497613.645809283,6778031.79444936,924.596473398739
2009-05-10T14:19:15Z,497613.498118683,6778031.66289922,924.560211625874
2009-05-10T14:34:15Z,497613.382888085,6778031.52038766,924.486231590802
2009-05-10T14:49:15Z,497613.248155087,6778031.38163726,924.407225690069
2009-05-10T15:04:15Z,497613.185764541,6778031.22429422,924.331446651413
2009-05-10T15:19:15Z,497613.040060184,6778031.09043039,924.307284420497
2009-05-10T15:38:45Z,497612.851288853,6778030.89876973,924.205212775966
2009-05-10T15:49:15Z,497612.763846963,6778030.81672858,924.135598822351
2009-05-10T16:04:15Z,497612.699817953,6778030.65713302,924.133671695374
2009-05-10T16:19:15Z,497612.549932755,6778030.52141337,924.04282545806
2009-05-10T16:34:15Z,497612.38390283,6778030.39397244,923.917622088483
2009-05-10T16:49:15Z,497612.301189236,6778030.24580383,923.924097656385
2009-05-10T17:04:15Z,497612.246249714,6778030.08896701,923.909986860343
2009-05-10T17:19:15Z,497612.073958383,6778029.96956489,923.865128674372
2009-05-10T17:49:15Z,497611.898459615,6778029.68599321,923.8229369939
2009-05-10T19:32:15Z,497611.365754788,6778028.71785673,923.848102296708
2009-05-10T19:49:15Z,497611.254840939,6778028.59011852,923.939776411535
2009-05-10T20:25:45Z,497611.074944284,6778028.23722898,923.961842869702
2009-05-10T20:34:15Z,497611.079327034,6778028.17289743,924.013783575625
2009-05-10T20:49:15Z,497611.009262772,6778028.0405198,924.007542636317
2009-05-10T21:04:15Z,497610.918191535,6778027.91534417,924.068032500395
2009-05-10T21:19:15Z,497610.896269553,6778027.76264978,924.11839930212
2009-05-10T21:34:15Z,497610.868459378,6778027.61388536,924.151579890138
2009-05-10T21:49:15Z,497610.764606653,6778027.48554565,924.196925966796
2009-05-10T22:04:15Z,497610.71083922,6778027.34000397,924.249117059279
2009-05-10T22:19:15Z,497610.609552114,6778027.20588283,924.251869990491
2009-05-10T22:34:15Z,497610.574919391,6778027.05293926,924.333158542728
2009-05-10T22:49:15Z,497610.482635555,6778026.91608856,924.330764162352
2009-05-10T23:04:15Z,497610.441451157,6778026.75976582,924.417369805259
2009-05-10T23:19:15Z,497610.300899447,6778026.63470899,924.420266576016
2009-05-10T23:34:15Z,497610.258955895,6778026.47080115,924.418235533264
2009-05-10T23:49:15Z,497610.177812182,6778026.32419323,924.515211416555
2009-05-11T00:04:15Z,497610.100105669,6778026.17441436,924.53703205938
2009-05-11T00:19:15Z,497610.052543492,6778026.01786235,924.526249235633
2009-05-11T00:34:15Z,497609.94335318,6778025.88949487,924.617747486222
2009-05-11T00:49:15Z,497609.922733111,6778025.72204637,924.51132492769
2009-05-11T01:04:15Z,497609.835957241,6778025.58269061,924.519203397782
2009-05-11T01:19:15Z,497609.731677872,6778025.44215422,924.443615749654
2009-05-11T01:34:15Z,497609.636006978,6778025.30308,924.410595172287
2009-05-11T01:49:15Z,497609.572558444,6778025.15276645,924.433970899235
2009-05-11T02:04:15Z,497609.496264185,6778025.00705711,924.424877295695
2009-05-11T03:04:45Z,497609.11234786,6778024.44141729,924.390581503513
2009-05-11T03:19:15Z,497608.966722185,6778024.31946077,924.285865976812
2009-05-11T04:04:15Z,497608.623084569,6778023.91772063,924.279271978346
2009-05-11T04:19:15Z,497608.555683742,6778023.76087031,924.174914849115
2009-05-11T04:34:15Z,497608.492319901,6778023.61329687,924.227214903881
2009-05-11T05:39:30Z,497607.976527003,6778023.02356428,924.181930343687
2009-05-11T05:49:15Z,497607.884638535,6778022.95647381,924.055874099378
2009-05-11T06:04:15Z,497607.800384084,6778022.82678278,924.114589379843
2009-05-11T06:19:15Z,497607.734312926,6778022.67638624,924.062951066506
2009-05-11T06:34:15Z,497607.615862953,6778022.54654345,924.081151634467
2009-05-11T06:49:15Z,497607.553964037,6778022.40048856,924.092421580232
2009-05-11T07:04:15Z,497607.563469947,6778022.23435037,924.163233185149
2009-05-11T07:19:15Z,497607.464541336,6778022.10105386,924.142086275644
2009-05-11T07:34:15Z,497607.390477805,6778021.96420127,924.161689773007
2009-05-11T07:49:15Z,497607.289010354,6778021.83930668,924.182896517051
2009-05-11T08:04:15Z,497607.284703312,6778021.68285639,924.260317125798
2009-05-11T08:19:15Z,497607.106392577,6778021.57777381,924.312426068448
2009-05-11T08:34:15Z,497607.115679057,6778021.41901974,924.381219028874
2009-05-11T08:49:15Z,497606.95567217,6778021.30421895,924.385715643024
2009-05-11T09:04:15Z,497606.955138526,6778021.14565513,924.442678067539
2009-05-11T09:19:15Z,497606.830106999,6778021.02532234,924.484433545098
2009-05-11T09:34:15Z,497606.737352793,6778020.89682719,924.5414198894
2009-05-11T09:49:15Z,497606.682644342,6778020.74802229,924.557777046265
2009-05-11T10:04:15Z,497606.619433804,6778020.60594497,924.591029263119
2009-05-11T10:19:15Z,497606.641689041,6778020.43514678,924.588495322715
