---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 12, 4, 49,21.53160,94.33320,23.0160,5008.4230,5021.3490,999.9610
111,5, 12, 4, 51,178.65610,92.24100,1938.5600,5045.4300,3063.4340,926.1510
111,5, 12, 4, 52,358.66070,267.75320,1938.5550,5045.2750,3063.4430,925.9570
REF,5, 12, 4, 54,21.53140,94.33520,23.0150,5008.4230,5021.3480,999.9600
111,5, 12, 4, 55,178.65480,92.24220,1938.5150,5045.4760,3063.4820,926.1130
REF,5, 12, 4, 56,21.53080,94.33440,23.0150,5008.4220,5021.3480,999.9610
REF,5, 12, 4, 56,201.53190,265.66440,23.0150,5008.4230,5021.3480,999.9600
111,5, 12, 4, 56,358.66090,267.75430,1938.4980,5045.2670,3063.4980,925.9970
REF,5, 12, 5, 0,21.53120,94.33550,23.0150,5008.4230,5021.3480,999.9600
REF,5, 12, 5, 0,201.53200,265.66170,23.0150,5008.4230,5021.3480,999.9590
111,5, 12, 5, 1,358.65920,267.75260,1938.4490,5045.3250,3063.5510,925.9410
111,5, 12, 5, 1,178.65400,92.23850,1938.4470,5045.4990,3063.5450,926.2430
REF,5, 12, 5, 15,21.52930,94.33280,23.0150,5008.4220,5021.3480,999.9610
REF,5, 12, 5, 15,201.53160,265.66200,23.0150,5008.4230,5021.3480,999.9590
111,5, 12, 5, 16,358.65770,267.75480,1938.2820,5045.3700,3063.7160,926.0200
111,5, 12, 5, 16,178.65460,92.23630,1938.2810,5045.4760,3063.7070,926.3220
REF,5, 12, 5, 30,21.53190,94.33350,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 5, 30,201.53020,265.66430,23.0150,5008.4220,5021.3480,999.9600
111,5, 12, 5, 31,358.65580,267.75370,1938.1130,5045.4310,3063.8880,925.9900
111,5, 12, 5, 31,178.65290,92.24150,1938.1090,5045.5300,3063.8870,926.1550
REF,5, 12, 5, 45,21.53090,94.33420,23.0150,5008.4220,5021.3480,999.9610
REF,5, 12, 5, 45,201.52960,265.66340,23.0150,5008.4220,5021.3480,999.9600
111,5, 12, 5, 46,358.65650,267.75490,1937.9500,5045.4040,3064.0480,926.0370
111,5, 12, 5, 46,178.65140,92.23940,1937.9470,5045.5770,3064.0480,926.2310
REF,5, 12, 6, 0,21.53330,94.33390,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 6, 0,201.52900,265.66460,23.0150,5008.4220,5021.3480,999.9600
111,5, 12, 6, 1,358.65330,267.75280,1937.7820,5045.5090,3064.2220,925.9750
111,5, 12, 6, 1,178.65020,92.24440,1937.7750,5045.6130,3064.2280,926.0690
REF,5, 12, 6, 15,21.53280,94.33420,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 6, 15,201.53020,265.66550,23.0150,5008.4220,5021.3480,999.9610
111,5, 12, 6, 15,358.65350,267.74990,1937.6130,5045.4960,3064.3940,925.8820
111,5, 12, 6, 16,178.64800,92.24650,1937.6020,5045.6820,3064.4050,926.0040
REF,5, 12, 6, 30,21.53240,94.33420,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 6, 30,201.53190,265.66470,23.0150,5008.4230,5021.3480,999.9600
111,5, 12, 6, 30,358.65100,267.74940,1937.4360,5045.5760,3064.5730,925.8730
111,5, 12, 6, 31,178.64720,92.24670,1937.4340,5045.7060,3064.5730,926.0050
REF,5, 12, 6, 45,21.53140,94.33440,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 6, 45,201.53020,265.66400,23.0150,5008.4220,5021.3480,999.9600
