---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 11, 15, 3,201.53270,265.66480,23.0150,5008.4230,5021.3480,999.9600
111,5, 11, 15, 4,358.73730,267.77100,1947.7250,5042.8880,3054.2000,926.2030
REF,5, 11, 15, 4,201.53240,265.66570,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 15, 5,21.53410,94.33510,23.0150,5008.4240,5021.3480,999.9600
REF,5, 11, 15, 15,201.53340,265.66160,23.0160,5008.4240,5021.3490,999.9590
REF,5, 11, 15, 15,21.53210,94.33380,23.0160,5008.4230,5021.3490,999.9610
REF,5, 11, 15, 30,201.53340,265.66110,23.0170,5008.4240,5021.3490,999.9590
REF,5, 11, 15, 30,21.53150,94.33420,23.0160,5008.4230,5021.3490,999.9610
111,5, 11, 15, 31,178.72960,92.22570,1947.4280,5043.1440,3054.4980,926.3290
REF,5, 11, 15, 45,201.53200,265.66250,23.0170,5008.4230,5021.3490,999.9590
REF,5, 11, 15, 45,21.53140,94.33420,23.0160,5008.4230,5021.3490,999.9610
REF,5, 11, 16, 0,201.53240,265.66080,23.0170,5008.4230,5021.3490,999.9590
REF,5, 11, 16, 0,21.53270,94.33290,23.0160,5008.4240,5021.3490,999.9610
REF,5, 11, 16, 3,201.53400,265.66160,23.0160,5008.4240,5021.3480,999.9590
REF,5, 11, 16, 3,21.53290,94.33390,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 16, 7,21.53350,94.33300,23.0150,5008.4240,5021.3480,999.9610
111,5, 11, 16, 8,178.72580,92.23720,1947.0090,5043.2630,3054.9340,925.9550
REF,5, 11, 16, 8,201.53180,265.66520,23.0150,5008.4230,5021.3480,999.9600
REF,5, 11, 16, 9,21.53250,94.33400,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 16, 15,201.53200,265.66360,23.0150,5008.4230,5021.3480,999.9600
REF,5, 11, 16, 15,21.53550,94.33460,23.0150,5008.4240,5021.3470,999.9610
REF,5, 11, 16, 30,201.53340,265.66320,23.0150,5008.4230,5021.3480,999.9600
REF,5, 11, 16, 30,21.53260,94.33320,23.0160,5008.4230,5021.3480,999.9610
REF,5, 11, 16, 45,201.53210,265.66350,23.0150,5008.4230,5021.3480,999.9600
REF,5, 11, 16, 45,21.52780,94.33210,23.0150,5008.4210,5021.3480,999.9620
REF,5, 11, 16, 57,21.53150,94.33240,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 16, 59,178.71950,92.24540,1946.4290,5043.4630,3055.5290,925.6990
REF,5, 11, 17, 4,21.53050,94.33530,23.0150,5008.4220,5021.3480,999.9600
REF,5, 11, 17, 5,201.52990,265.66330,23.0150,5008.4220,5021.3480,999.9600
112,5, 11, 17, 7,21.53120,94.33390,23.0160,5008.4230,5021.3480,999.9610
REF,5, 11, 17, 8,21.53080,94.33370,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 17, 9,178.71800,92.24270,1946.3130,5043.5130,3055.6430,925.7950
REF,5, 11, 17, 9,21.53200,94.33340,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 17, 10,201.53200,265.66170,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 17, 15,21.53140,94.33250,23.0160,5008.4230,5021.3480,999.9610
REF,5, 11, 17, 15,201.52990,265.66180,23.0160,5008.4220,5021.3480,999.9590
REF,5, 11, 17, 30,21.53070,94.33300,23.0160,5008.4230,5021.3490,999.9610
REF,5, 11, 17, 30,201.53230,265.66210,23.0150,5008.4230,5021.3480,999.9590
