---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 9, 16, 52,201.53320,265.66260,23.0160,5008.4240,5021.3480,999.9590
REF,5, 9, 16, 53,21.53470,94.33460,23.0150,5008.4240,5021.3480,999.9600
REG,5, 9, 16, 53,178.93800,92.20360,1977.1710,5036.6200,3024.6080,925.9440
REG,5, 9, 16, 53,358.94360,267.79130,1977.1630,5036.4250,3024.6200,925.7670
REF,5, 9, 16, 55,201.53390,265.66390,23.0150,5008.4240,5021.3470,999.9600
111,5, 9, 16, 58,358.94140,267.79240,1977.1200,5036.5010,3024.6630,925.8060
REF,5, 9, 16, 58,201.53480,265.66250,23.0150,5008.4240,5021.3480,999.9590
REF,5, 9, 16, 58,21.53200,94.33400,23.0150,5008.4230,5021.3480,999.9610
111,5, 9, 16, 59,178.93720,92.20310,1977.1080,5036.6470,3024.6720,925.9610
111,5, 9, 16, 59,358.94060,267.79190,1977.1010,5036.5290,3024.6830,925.7920
REF,5, 9, 17, 0,201.53570,265.66210,23.0150,5008.4240,5021.3470,999.9590
REF,5, 9, 17, 0,21.53250,94.33460,23.0150,5008.4230,5021.3480,999.9610
111,5, 9, 17, 1,178.93710,92.20310,1977.0880,5036.6470,3024.6920,925.9650
111,5, 9, 17, 1,358.94060,267.79170,1977.0820,5036.5260,3024.7030,925.7830
REF,5, 9, 17, 15,201.53300,265.66250,23.0150,5008.4230,5021.3480,999.9590
REF,5, 9, 17, 15,21.53430,94.33360,23.0160,5008.4240,5021.3480,999.9610
111,5, 9, 17, 16,178.93480,92.20350,1976.9290,5036.7250,3024.8520,925.9560
111,5, 9, 17, 16,358.93890,267.79130,1976.9210,5036.5830,3024.8640,925.7750
REF,5, 9, 17, 30,201.53340,265.66350,23.0150,5008.4230,5021.3480,999.9600
REF,5, 9, 17, 30,21.53330,94.33440,23.0150,5008.4230,5021.3480,999.9610
111,5, 9, 17, 31,178.93440,92.20630,1976.7670,5036.7360,3025.0190,925.8640
111,5, 9, 17, 31,358.93750,267.79080,1976.7620,5036.6280,3025.0250,925.7650
REF,5, 9, 17, 45,201.53370,265.66360,23.0150,5008.4240,5021.3480,999.9600
REF,5, 9, 17, 45,21.53180,94.33470,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 17, 46,178.93270,92.20660,1976.6070,5036.7920,3025.1800,925.8600
111,5, 9, 17, 46,358.93710,267.78970,1976.5990,5036.6400,3025.1890,925.7320
REF,5, 9, 18, 0,201.53300,265.66400,23.0160,5008.4230,5021.3480,999.9600
REF,5, 9, 18, 0,21.53220,94.33500,23.0160,5008.4230,5021.3480,999.9600
111,5, 9, 18, 1,178.93080,92.20520,1976.4500,5036.8550,3025.3360,925.9140
111,5, 9, 18, 1,358.93360,267.78960,1976.4470,5036.7570,3025.3440,925.7380
REF,5, 9, 18, 15,201.53380,265.66290,23.0150,5008.4240,5021.3480,999.9600
REF,5, 9, 18, 15,21.53140,94.33620,23.0160,5008.4230,5021.3480,999.9600
111,5, 9, 18, 15,178.92940,92.20650,1976.2940,5036.8990,3025.4940,925.8770
111,5, 9, 18, 16,358.93400,267.78960,1976.2860,5036.7410,3025.5040,925.7430
REF,5, 9, 18, 30,201.53460,265.66240,23.0150,5008.4240,5021.3480,999.9590
REF,5, 9, 18, 30,21.53240,94.33500,23.0160,5008.4230,5021.3480,999.9600
111,5, 9, 18, 31,178.92750,92.20440,1976.1390,5036.9630,3025.6480,925.9540
111,5, 9, 18, 31,358.93190,267.78820,1976.1350,5036.8090,3025.6590,925.6990
