---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 10, 15, 36,201.53300,265.66290,23.0160,5008.4230,5021.3480,999.9590
REF,5, 10, 15, 36,21.53130,94.33620,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 15, 37,178.83420,92.21130,1962.7260,5039.9040,3039.1200,926.2320
111,5, 10, 15, 37,358.83820,267.78500,1962.7210,5039.7670,3039.1270,926.1050
REF,5, 10, 15, 45,201.53190,265.66200,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 15, 45,21.53240,94.33570,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 15, 46,178.83230,92.21340,1962.6240,5039.9670,3039.2260,926.1620
111,5, 10, 15, 46,358.83790,267.78280,1962.6170,5039.7740,3039.2340,926.0340
REF,5, 10, 16, 0,201.53080,265.66150,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 16, 0,21.53110,94.33320,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 16, 1,178.83100,92.21290,1962.4500,5040.0080,3039.4000,926.1860
111,5, 10, 16, 1,358.83710,267.78180,1962.4480,5039.7990,3039.4050,926.0070
REF,5, 10, 16, 15,201.53160,265.66170,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 16, 15,21.52970,94.33370,23.0150,5008.4220,5021.3480,999.9610
111,5, 10, 16, 16,178.82770,92.21590,1962.2780,5040.1180,3039.5780,926.0910
111,5, 10, 16, 16,358.83250,267.77910,1962.2740,5039.9540,3039.5850,925.9200
REF,5, 10, 16, 30,201.53150,265.66230,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 16, 30,21.53190,94.33350,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 16, 31,178.82600,92.21940,1962.1100,5040.1720,3039.7520,925.9770
111,5, 10, 16, 31,358.83080,267.77490,1962.1040,5040.0080,3039.7620,925.7830
REF,5, 10, 16, 45,201.53170,265.66520,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 16, 45,21.52950,94.33220,23.0150,5008.4220,5021.3490,999.9610
111,5, 10, 16, 46,178.82290,92.21950,1961.9420,5040.2750,3039.9220,925.9820
111,5, 10, 16, 46,358.82690,267.77500,1961.9380,5040.1380,3039.9310,925.7910
REF,5, 10, 17, 0,201.52850,265.66320,23.0150,5008.4220,5021.3490,999.9600
REF,5, 10, 17, 0,21.52720,94.33390,23.0150,5008.4210,5021.3490,999.9610
111,5, 10, 17, 1,178.82050,92.21920,1961.7760,5040.3530,3040.0890,925.9960
111,5, 10, 17, 1,358.82610,267.77350,1961.7730,5040.1600,3040.0980,925.7480
REF,5, 10, 17, 15,201.52920,265.66410,23.0150,5008.4220,5021.3480,999.9600
REF,5, 10, 17, 15,21.52870,94.33390,23.0150,5008.4220,5021.3490,999.9610
111,5, 10, 17, 16,178.81890,92.22030,1961.6090,5040.4050,3040.2580,925.9670
111,5, 10, 17, 16,358.82240,267.77160,1961.6070,5040.2840,3040.2690,925.6880
REF,5, 10, 17, 30,201.52870,265.66280,23.0150,5008.4220,5021.3480,999.9590
REF,5, 10, 17, 30,21.52780,94.33430,23.0150,5008.4210,5021.3480,999.9610
111,5, 10, 17, 31,178.81720,92.22160,1961.4500,5040.4600,3040.4200,925.9290
REF,5, 10, 17, 45,201.52920,265.66380,23.0150,5008.4220,5021.3480,999.9600
REF,5, 10, 17, 45,21.52680,94.33530,23.0150,5008.4210,5021.3490,999.9600
111,5, 10, 17, 46,178.81550,92.22300,1961.2880,5040.5140,3040.5850,925.8870
